id,abbr,name
628,f,"fornix"
629,fi,"fimbria of the hippocampus"
630,fmi,"forceps minor of the corpus callosum"
631,fmj,"forceps major of the corpus callosum"
632,fr,"fasciculus retroflexus"
633,g7,"genu of the facial nerve"
634,gcc,"genu of the corpus callosum"
635,gr,"gracile fasciculus"
636,hbc,"habenular commissure"
637,hif,"hippocampal fissure"
638,ic,"internal capsule"
639,icp,"inferior cerebellar peduncle (restiform body)"
640,iml,"internal medullary lamina"
641,imvc,"intermedioventral thalamic commissure"
642,isRt,"isthmic reticular formation"
643,lfp,"longitudinal fasciculus of the pons"
644,ll,"lateral lemniscus"
645,lo,"lateral olfactory tract"
646,m5,"motor root of the trigeminal nerve"
647,mRt,"mesencehalic reticular formation"
648,mch,"medial corticohypothalamic tract"
649,mcp,"middle cerebellar peduncle"
650,me5,"mesencephalic trigeminal tract"
651,mfb,"medial forebrain bundle"
652,ml,"medial lemniscus"
653,mlf,"medial longitudinal fasciculus"
654,mlx,"medial lemniscal decussation"
655,mp,"mammillary peduncle"
656,mt,"mammillothalamic tract"
657,mtg,"mammillotegmental tract"
658,ns,"nigrostriatal bundle"
659,oc,"olivocerebellar tract"
660,ocb,"olivocochlear bundle"
661,och,"optic chiasm"
662,opt,"optic tract"
663,p1PAG,"p1 periaqueductal gray"
664,pc,"posterior commissure"
665,pm,"principal mammillary tract"
666,py,"pyramidal tract"
667,pyx,"pyramidal decussation"
668,rs,"rubrospinal tract"
669,s5,"sensory root of the trigeminal nerve"
670,scc,"splenium of the corpus callosum"
671,scp,"superior cerebellar peduncle"
672,sm,"stria medullaris of the thalamus"
673,sol,"solitary tract"
674,sox,"supraoptic decussation"
675,sp5,"spinal trigeminal tract"
676,st,"stria terminalis"
677,str,"superior thalamic radiation"
678,sumx,"supramammillary decussation"
679,tfp,"transverse fibers of the pons"
680,ts,"tectospinal tract"
681,tth,"trigeminothalamic tract"
682,tz,"trapezoid body"
683,tzx,"decussation of the trapezoid body"
684,vVNLL,"ventral nucleus of the lateral lemniscus, ventral part"
685,veme,"vestibulomesencephalic tract"
686,vesp,"vestibulospinal tract"
687,vhc,"ventral hippocampal commissure"
688,vlh,"ventrolateral hypothalamic tract"
689,vsc,"ventral spinocerebellar tract"
690,vtgx,"ventral tegmental decussation"
691,xscp,"decussation of the superior cerebellar peduncle"
65000,,a sealed face the atlas does not name
