id,abbr,name
149,DMC,"dorsomedial hypothalamic nucleus, compact part"
150,DMD,"dorsomedial hypothalamic nucleus, dorsal part"
151,DMIC,"dorsomedial nucleus of the inferior colliculus"
152,DMPAG,"dorsomedial periaqueductal gray"
153,DMSp5,"dorsomedial spinal trigeminal nucleus"
154,DMTg,"dorsomedial tegmental area"
155,DMV,"dorsomedial hypothalamic nucleus, ventral part"
156,DNLL,"dorsal nucleus of the lateral lemniscus"
157,DP,"dorsal peduncular cortex"
158,DPGi,"dorsal paragigantocellular nucleus"
159,DPO,"dorsal periolivary nucleus"
160,DR,"dorsal raphe nucleus"
161,DRC,"dorsal raphe nucleus, caudal part"
162,DRD,"dorsal raphe nucleus, dorsal part"
163,DRL,"dorsal raphe nucleus, lateral part"
164,DRV,"dorsal raphe nucleus, ventral part"
165,DS,"dorsal subiculum"
166,DTT,"dorsal tenia tecta"
167,DTg,"dorsal tegmental nucleus"
168,DTgC,"dorsal tegmental nucleus, central part"
169,DTgP,"dorsal tegmental nucleus, pericentral part"
170,Dk,"nucleus of Darkschewitsch"
171,DpG,"deep gray layer of the superior colliculus"
172,DpWh,"deep white layer of the superior colliculus"
173,Dtr,"dorsal transition zone"
174,E,"ependyma and subependymal layer"
175,EA,"sublenticular extended amygdala"
176,EAC,"sublenticular extended amygdala, central part"
177,ECIC,"external cortex of the inferior colliculus"
178,ECu,"external cuneate nucleus"
179,EP,"entopeduncular nucleus"
180,EPl,"external plexiform layer of the olfactory bulb"
181,EPlA,"external plexiform layer of the accessory olfactory bulb"
182,EVe,"nucleus of origin of efferents of the vestibular nerve"
183,EW,"Edinger–Westphal nucleus"
184,Ect,"ectorhinal cortex"
185,Ent,"entorhinal cortex"
186,Eth,"ethmoid thalamic nucleus"
187,F,"nucleus of the fields of Forel"
188,FC,"fasciola cinereum"
189,FVe,"F cell group of the vestibular complex"
190,Fl,"flocculus"
191,Fr3,"frontal cortex, area 3"
192,FrA,"frontal association cortex"
193,Fu,"bed nucleus of stria terminalis, fusiform part"
194,GI,"granular insular cortex"
195,GP,"globus pallidus"
196,Gca,"globular cell area, ventral cochlear nucleus"
197,Ge5,"gelatinous layer of the caudal spinal trigeminal nucleus"
198,Gi,"gigantocellular reticular nucleus"
199,GiA,"gigantocellular reticular nucleus, alpha part"
200,GiV,"gigantocellular reticular nucleus, ventral part"
201,Gl,"glomerular layer of the olfactory bulb"
202,GlA,"glomerular layer of the accessory olfactory bulb"
203,Gr,"gracile nucleus"
204,GrA,"granule cell layer of the accessory olfactory bulb"
205,GrC,"granule cell layer of cochlear nuclei"
206,GrDG,"granular layer of the dentate gyrus"
207,GrO,"granular cell layer of the olfactory bulb"
208,HDB,"nucleus of the horizontal limb of the diagonal band"
