abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
InC,interstitial nucleus of Cajal,33,38,6,-3.4,-5.15,midbrain,33 34 35 36 37 38
InG,intermediate gray layer of the superior colliculus,33,41,9,-3.4,-6.2,midbrain;visual,33 34 35 36 37 38 39 40 41
INLL,intermediate nucleus of the lateral lemniscus,40,42,3,-5.85,-6.55,auditory;fiber_tract,40 41 42
IntA,"interposed cerebellar nucleus, anterior part",47,49,3,-8.3,-9.0,cerebellum,47 48 49
IntDL,"interposed cerebellar nucleus, dorsolateral hump",47,50,4,-8.3,-9.35,cerebellum,47 48 49 50
IntDM,"interposed cerebellar nucleus, dorsomedial crest",48,50,3,-8.65,-9.35,cerebellum,48 49 50
IntP,"interposed cerebellar nucleus, posterior part",49,50,2,-9.0,-9.35,cerebellum,49 50
IntPPC,"interposed cerebellar nucleus, posterior parvicellular part",49,50,2,-9.0,-9.35,cerebellum,49 50
InWh,intermediate white layer of the superior colliculus,33,41,9,-3.4,-6.2,midbrain;visual,33 34 35 36 37 38 39 40 41
IOA,"inferior olive, subnucleus A of medial nucleus",57,58,2,-11.8,-12.15,brainstem,57 58
IOB,"inferior olive, subnucleus B of medial nucleus",56,58,3,-11.45,-12.15,brainstem,56 57 58
IOBe,"inferior olive, beta subnucleus",56,58,3,-11.45,-12.15,brainstem,56 57 58
IOC,"inferior olive, subnucleus C of medial nucleus",56,58,3,-11.45,-12.15,brainstem,56 57 58
IOD,"inferior olive, dorsal nucleus",52,56,5,-10.05,-11.45,brainstem,52 53 54 55 56
IODM,"inferior olive, dorsomedial cell group",52,55,4,-10.05,-11.1,brainstem,52 53 54 55
IOK,"inferior olive, cap of Kooy of the medial nucleus",56,57,2,-11.45,-11.8,brainstem,56 57
IOM,"inferior olive, medial nucleus",52,55,4,-10.05,-11.1,brainstem,52 53 54 55
IOPr,"inferior olive, principal nucleus",52,56,5,-10.05,-11.45,brainstem,52 53 54 55 56
IPAC,interstitial nucleus of the posterior limb of the anterior commissure,22,25,4,0.45,-0.6,basal_forebrain;fiber_tract,22 23 24 25
IPC,"interpeduncular nucleus, caudal subnucleus",37,40,4,-4.8,-5.85,midbrain,37 38 39 40
IPD,"interpeduncular nucleus, dorsal subnucleus",38,38,1,-5.15,-5.15,midbrain,38
IPF,interpeduncular fossa,36,36,1,-4.45,-4.45,midbrain,36
IPI,"interpeduncular nucleus, intermediate subnucleus",38,39,2,-5.15,-5.5,midbrain,38 39
IPl,internal plexiform layer of the olfactory bulb,1,10,10,7.8,4.65,olfactory,1 2 3 4 5 6 7 8 9 10
IPL,"interpeduncular nucleus, lateral subnucleus",37,39,3,-4.8,-5.5,midbrain,37 38 39
IPR,"interpeduncular nucleus, rostral subnucleus",37,38,2,-4.8,-5.15,midbrain,37 38
IRt,intermediate reticular nucleus,46,62,17,-7.95,-13.55,brainstem,46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
isRt,isthmic reticular formation,39,42,4,-5.5,-6.55,midbrain,39 40 41 42
IVF,interventricular foramen,25,25,1,-0.6,-0.6,ventricular,25
KF,Kölliker–Fuse nucleus,43,44,2,-6.9,-7.25,brainstem,43 44
La,lateral amygdaloid nucleus,26,31,6,-0.95,-2.7,amygdala,26 27 28 29 30 31
LA,lateroanterior hypothalamic nucleus,25,26,2,-0.6,-0.95,hypothalamus;thalamus,25 26
LAcbSh,lateral accumbens shell,19,21,3,1.5,0.8,basal_forebrain,19 20 21
LaD,"lateral amygdaloid nucleus, dorsal part",27,30,4,-1.3,-2.35,amygdala,27 28 29 30
Lat,lateral (dentate) cerebellar nucleus,46,49,4,-7.95,-9.0,cerebellum,46 47 48 49
LatPC,"lateral cerebellar nucleus, parvicellular part",46,48,3,-7.95,-8.65,cerebellum,46 47 48
LaV,"lateral amygdaloid nucleus, ventral part",27,30,4,-1.3,-2.35,amygdala,27 28 29 30
LC,locus coeruleus,44,45,2,-7.25,-7.6,monoaminergic,44 45
Ld,lambdoid septal zone,19,21,3,1.5,0.8,basal_forebrain,19 20 21
LDDM,"laterodorsal thalamic nucleus, dorsomedial part",27,28,2,-1.3,-1.65,thalamus,27 28
LDTg,laterodorsal tegmental nucleus,42,44,3,-6.55,-7.25,midbrain,42 43 44
LDTgV,"laterodorsal tegmental nucleus, ventral part",43,43,1,-6.9,-6.9,midbrain,43
LDVL,"laterodorsal thalamic nucleus, ventrolateral part",27,29,3,-1.3,-2.0,thalamus,27 28 29
LEnt,lateral entorhinal cortex,29,41,13,-2.0,-6.2,cortex;hippocampal,29 30 31 32 33 34 35 36 37 38 39 40 41
lfp,longitudinal fasciculus of the pons,40,43,4,-5.85,-6.9,fiber_tract,40 41 42 43
LHb,lateral habenular nucleus,28,31,4,-1.65,-2.7,thalamus,28 29 30 31
LHbL,"lateral habenular nucleus, lateral part",29,30,2,-2.0,-2.35,thalamus,29 30
LHbM,"lateral habenular nucleus, medial part",29,30,2,-2.0,-2.35,thalamus,29 30
Li,linear nucleus of the medulla,51,53,3,-9.7,-10.4,brainstem,51 52 53
ll,lateral lemniscus,39,43,5,-5.5,-6.9,auditory;fiber_tract,39 40 41 42 43
LM,lateral mammillary nucleus,33,35,3,-3.4,-4.1,hypothalamus,33 34 35
LMol,lacunosum moleculare layer of the hippocampus,29,36,8,-2.0,-4.45,hippocampal,29 30 31 32 33 34 35 36
LNTB,lateral nucleus of the trapezoid body,44,47,4,-7.25,-8.3,auditory,44 45 46 47
lo,lateral olfactory tract,5,25,21,6.4,-0.6,fiber_tract;olfactory,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
LO,lateral orbital cortex,8,16,9,5.35,2.55,cortex,8 9 10 11 12 13 14 15 16
LOT,nucleus of the lateral olfactory tract,25,26,2,-0.6,-0.95,fiber_tract;olfactory,25 26
LPAG,lateral periaqueductal gray,35,42,8,-4.1,-6.55,midbrain;ventricular,35 36 37 38 39 40 41 42
LPB,lateral parabrachial nucleus,45,45,1,-7.6,-7.6,brainstem,45
LPBC,"lateral parabrachial nucleus, central part",43,44,2,-6.9,-7.25,brainstem,43 44
LPBCr,"lateral parabrachial nucleus, crescent part",44,44,1,-7.25,-7.25,brainstem,44
LPBI,"lateral parabrachial nucleus, internal part",43,45,3,-6.9,-7.6,brainstem,43 44 45
LPGi,lateral paragigantocellular nucleus,51,53,3,-9.7,-10.4,brainstem,51 52 53
LPGiA,"lateral paragigantocellular nucleus, alpha part",48,50,3,-8.65,-9.35,brainstem,48 49 50
LPGiE,"lateral paragigantocellular nucleus, external part",48,50,3,-8.65,-9.35,brainstem,48 49 50
LPLC,"lateral posterior thalamic nucleus, laterocaudal part",32,33,2,-3.05,-3.4,thalamus,32 33
LPLR,"lateral posterior thalamic nucleus, laterorostral part",29,31,3,-2.0,-2.7,thalamus,29 30 31
LPMC,"lateral posterior thalamic nucleus, mediocaudal part",32,34,3,-3.05,-3.75,thalamus,32 33 34
LPMR,"lateral posterior thalamic nucleus, mediorostral part",29,32,4,-2.0,-3.05,thalamus,29 30 31 32
LPO,lateral preoptic area,22,25,4,0.45,-0.6,hypothalamus;visual,22 23 24 25
LPtA,lateral parietal association cortex,28,30,3,-1.65,-2.35,cortex,28 29 30
LR4V,lateral recess of the 4th ventricle,45,51,7,-7.6,-9.7,ventricular,45 46 47 48 49 50 51
LRt,lateral reticular nucleus,54,59,6,-10.75,-12.5,brainstem,54 55 56 57 58 59
LRtPC,"lateral reticular nucleus, parvicellular part",56,58,3,-11.45,-12.15,brainstem,56 57 58
LRtS5,"lateral reticular nucleus, subtrigeminal part",55,56,2,-11.1,-11.45,brainstem;somatosensory,55 56
LSD,"lateral septal nucleus, dorsal part",19,25,7,1.5,-0.6,basal_forebrain,19 20 21 22 23 24 25
LSI,"lateral septal nucleus, intermediate part",18,23,6,1.85,0.1,basal_forebrain,18 19 20 21 22 23
LSO,lateral superior olive,45,47,3,-7.6,-8.3,auditory;brainstem,45 46 47
LSS,lateral stripe of the striatum,21,23,3,0.8,0.1,basal_forebrain;motor,21 22 23
LSV,"lateral septal nucleus, ventral part",19,23,5,1.5,0.1,basal_forebrain,19 20 21 22 23
LT,lateral terminal nucleus of the accessory optic tract,33,33,1,-3.4,-3.4,fiber_tract;visual,33
LTer,lemina terminalis,24,24,1,-0.25,-0.25,ventricular,24
Lth,lithoid nucleus,33,33,1,-3.4,-3.4,thalamus,33
LV,lateral ventricle,17,32,16,2.2,-3.05,ventricular,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
LVe,lateral vestibular nucleus,47,49,3,-8.3,-9.0,vestibular,47 48 49
LVPO,lateroventral periolivary nucleus,44,47,4,-7.25,-8.3,auditory,44 45 46 47
M1,primary motor cortex,11,28,18,4.3,-1.65,cortex;motor,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
M2,secondary motor cortex,10,28,19,4.65,-1.65,cortex;motor,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
m5,motor root of the trigeminal nerve,43,45,3,-6.9,-7.6,fiber_tract;motor;somatosensory,43 44 45
MA3,medial accessory oculomotor nucleus,34,35,2,-3.75,-4.1,midbrain;motor,34 35
mcer,middle cerebral artery,23,23,1,0.1,0.1,vascular;ventricular,23
mch,medial corticohypothalamic tract,25,25,1,-0.6,-0.6,fiber_tract;hypothalamus;thalamus,25
MCLH,magnocellular nucleus of the lateral hypothalamus,29,29,1,-2.0,-2.0,hypothalamus;thalamus,29
mcp,middle cerebellar peduncle,40,46,7,-5.85,-7.95,cerebellum;fiber_tract,40 41 42 43 44 45 46
MCPC,magnocellular nucleus of the posterior commissure,33,34,2,-3.4,-3.75,fiber_tract,33 34
MCPO,magnocellular preoptic nucleus,23,25,3,0.1,-0.6,basal_forebrain;hypothalamus;visual,23 24 25
MD,mediodorsal thalamic nucleus,27,27,1,-1.3,-1.3,thalamus,27
MDC,"mediodorsal thalamic nucleus, central part",28,30,3,-1.65,-2.35,thalamus,28 29 30
MdD,"medullary reticular nucleus, dorsal part",55,62,8,-11.1,-13.55,brainstem,55 56 57 58 59 60 61 62
MDL,"mediodorsal thalamic nucleus, lateral part",28,30,3,-1.65,-2.35,thalamus,28 29 30
MDM,"mediodorsal thalamic nucleus, medial part",28,30,3,-1.65,-2.35,thalamus,28 29 30
MdV,"medullary reticular nucleus, ventral part",55,62,8,-11.1,-13.55,brainstem,55 56 57 58 59 60 61 62
ME,median eminence,30,32,3,-2.35,-3.05,hypothalamus;ventricular,30 31 32
Me5,mesencephalic trigeminal nucleus,38,45,8,-5.15,-7.6,midbrain;somatosensory,38 39 40 41 42 43 44 45
me5,mesencephalic trigeminal tract,43,45,3,-6.9,-7.6,fiber_tract;somatosensory,43 44 45
MeAD,"medial amygdaloid nucleus, anterodorsal part",26,27,2,-0.95,-1.3,amygdala,26 27
MeAV,"medial amygdaloid nucleus, anteroventral part",27,27,1,-1.3,-1.3,amygdala,27
Med,medial (fastigial) cerebellar nucleus,47,50,4,-8.3,-9.35,cerebellum,47 48 49 50
MedDL,"medial cerebellar nucleus, dorsolateral protuberance",49,50,2,-9.0,-9.35,cerebellum,49 50
MedL,"medial cerebellar nucleus, lateral part",49,50,2,-9.0,-9.35,cerebellum,49 50
MEnt,medial entorhinal cortex,34,41,8,-3.75,-6.2,cortex;hippocampal,34 35 36 37 38 39 40 41
MePD,"medial amygdaloid nucleus, posterodorsal part",27,29,3,-1.3,-2.0,amygdala,27 28 29
MePV,"medial amygdaloid nucleus, posteroventral part",28,29,2,-1.65,-2.0,amygdala,28 29
mfb,medial forebrain bundle,19,32,14,1.5,-3.05,fiber_tract,19 20 21 22 23 24 25 26 27 28 29 30 31 32
MGD,"medial geniculate nucleus, dorsal part",33,36,4,-3.4,-4.45,auditory;thalamus;visual,33 34 35 36
MGM,"medial geniculate nucleus, medial part",33,36,4,-3.4,-4.45,auditory;thalamus;visual,33 34 35 36
MGV,"medial geniculate nucleus, ventral part",33,36,4,-3.4,-4.45,auditory;thalamus;visual,33 34 35 36
MHb,medial habenular nucleus,27,31,5,-1.3,-2.7,thalamus,27 28 29 30 31
Mi,mitral cell layer of the olfactory bulb,1,10,10,7.8,4.65,olfactory,1 2 3 4 5 6 7 8 9 10
MiA,mitral cell layer of the accessory olfactory bulb,5,9,5,6.4,5.0,olfactory,5 6 7 8 9
MiTg,microcellular tegmental nucleus,38,39,2,-5.15,-5.5,midbrain,38 39
ml,medial lemniscus,28,54,27,-1.65,-10.75,fiber_tract,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
ML,"medial mammillary nucleus, lateral part",34,36,3,-3.75,-4.45,hypothalamus,34 35 36
mlf,medial longitudinal fasciculus,37,62,26,-4.8,-13.55,fiber_tract,37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
mlx,medial lemniscal decussation,56,56,1,-11.45,-11.45,fiber_tract,56
MM,"medial mammillary nucleus, medial part",34,35,2,-3.75,-4.1,hypothalamus,34 35
MnA,median accessory nucleus of the medulla,59,62,4,-12.5,-13.55,brainstem,59 60 61 62
MnM,"medial mammillary nucleus, median part",34,34,1,-3.75,-3.75,hypothalamus,34
MnPO,median preoptic nucleus,22,24,3,0.45,-0.25,hypothalamus;visual,22 23 24
MnR,median raphe nucleus,39,43,5,-5.5,-6.9,brainstem;monoaminergic,39 40 41 42 43
MNTB,medial nucleus of the trapezoid body,43,47,5,-6.9,-8.3,auditory,43 44 45 46 47
MO,medial orbital cortex,8,14,7,5.35,3.25,cortex,8 9 10 11 12 13 14
MoDG,molecular layer of the dentate gyrus,27,37,11,-1.3,-4.8,hippocampal,27 28 29 30 31 32 33 34 35 36 37
MoS,molecular layer of the subiculum,37,37,1,-4.8,-4.8,hippocampal,37
mp,mammillary peduncle,35,36,2,-4.1,-4.45,fiber_tract;hypothalamus,35 36
MPA,medial preoptic area,22,25,4,0.45,-0.6,hypothalamus;visual,22 23 24 25
MPB,medial parabrachial nucleus,43,45,3,-6.9,-7.6,brainstem,43 44 45
MPBE,"medial parabrachial nucleus, external part",44,44,1,-7.25,-7.25,brainstem,44
MPL,"paralemniscal nucleus, medial part",41,42,2,-6.2,-6.55,auditory,41 42
MPO,medial preoptic nucleus,24,25,2,-0.25,-0.6,hypothalamus;visual,24 25
MPT,medial pretectal nucleus,32,32,1,-3.05,-3.05,visual,32
MPtA,medial parietal association cortex,28,30,3,-1.65,-2.35,cortex,28 29 30
MRe,mammillary recess of the 3rd ventricle,34,34,1,-3.75,-3.75,hypothalamus;ventricular,34
mRt,mesencehalic reticular formation,36,38,3,-4.45,-5.15,midbrain,36 37 38
MS,medial septal nucleus,19,23,5,1.5,0.1,basal_forebrain,19 20 21 22 23
MSO,medial superior olive,44,47,4,-7.25,-8.3,auditory;brainstem,44 45 46 47
mt,mammillothalamic tract,27,33,7,-1.3,-3.4,fiber_tract;thalamus,27 28 29 30 31 32 33
MT,medial terminal nucleus of the accessory optic tract,35,35,1,-4.1,-4.1,fiber_tract;visual,35
mtg,mammillotegmental tract,33,33,1,-3.4,-3.4,fiber_tract;hypothalamus;midbrain,33
MTu,medial tuberal nucleus,29,31,3,-2.0,-2.7,hypothalamus,29 30 31
MVe,medial vestibular nucleus,53,53,1,-10.4,-10.4,vestibular,53
MVeMC,"medial vestibular nucleus, magnocellular part",46,52,7,-7.95,-10.05,vestibular,46 47 48 49 50 51 52
MVePC,"medial vestibular nucleus, parvicellular part",46,52,7,-7.95,-10.05,vestibular,46 47 48 49 50 51 52
MVPO,medioventral periolivary nucleus,44,47,4,-7.25,-8.3,auditory,44 45 46 47
Mx,matrix region of the medulla,50,59,10,-9.35,-12.5,brainstem,50 51 52 53 54 55 56 57 58 59
MZMG,marginal zone of the medial geniculate,33,35,3,-3.4,-4.1,auditory;thalamus,33 34 35
ns,nigrostriatal bundle,27,33,7,-1.3,-3.4,fiber_tract,27 28 29 30 31 32 33
Nv,navicular nucleus of the basal forebrain,17,18,2,2.2,1.85,basal_forebrain,17 18
Obex,obex,57,57,1,-11.8,-11.8,brainstem,57
oc,olivocerebellar tract,50,54,5,-9.35,-10.75,cerebellum;fiber_tract,50 51 52 53 54
Oca,"octopus cell area, ventral cochlear nucleus",47,49,3,-8.3,-9.0,auditory,47 48 49
ocb,olivocochlear bundle,46,47,2,-7.95,-8.3,auditory;fiber_tract,46 47
och,optic chiasm,21,25,5,0.8,-0.6,fiber_tract;visual,21 22 23 24 25
ON,olfactory nerve layer,1,8,8,7.8,5.35,olfactory,1 2 3 4 5 6 7 8
Op,optic nerve layer of the superior colliculus,33,40,8,-3.4,-5.85,midbrain;visual,33 34 35 36 37 38 39 40
OPC,oval paracentral thalamic nucleus,29,31,3,-2.0,-2.7,thalamus,29 30 31
OPT,olivary pretectal nucleus,32,33,2,-3.05,-3.4,visual,32 33
opt,optic tract,26,33,8,-0.95,-3.4,fiber_tract;visual,26 27 28 29 30 31 32 33
Or,oriens layer of the hippocampus,27,36,10,-1.3,-4.45,hippocampal,27 28 29 30 31 32 33 34 35 36
OT,nucleus of the optic tract,32,35,4,-3.05,-4.1,fiber_tract;visual,32 33 34 35
OV,olfactory ventricle (olfactory part of lateral ventricle),1,16,16,7.8,2.55,olfactory;ventricular,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
p1PAG,p1 periaqueductal gray,32,34,3,-3.05,-3.75,midbrain;ventricular,32 33 34
p1Rt,p1 reticular formation,32,35,4,-3.05,-4.1,midbrain,32 33 34 35
P5,peritrigeminal zone,43,46,4,-6.9,-7.95,somatosensory,43 44 45 46
P7,perifacial zone,48,51,4,-8.65,-9.7,brainstem,48 49 50 51
Pa4,paratrochlear nucleus,40,41,2,-5.85,-6.2,midbrain;motor,40 41
Pa5,paratrigeminal nucleus,54,57,4,-10.75,-11.8,somatosensory,54 55 56 57
Pa6,paraabducens nucleus,46,47,2,-7.95,-8.3,motor,46 47
PaAP,"paraventricular hypothalamic nucleus, anterior parvicellular part",25,26,2,-0.6,-0.95,hypothalamus;thalamus,25 26
PaMM,"paraventricular hypothalamic nucleus, medial magnocellular part",27,28,2,-1.3,-1.65,hypothalamus;thalamus,27 28
PaMP,"paraventricular hypothalamic nucleus, medial parvicellular part",27,27,1,-1.3,-1.3,hypothalamus;thalamus,27
PaPo,"paraventricular hypothalamic nucleus, posterior part",28,28,1,-1.65,-1.65,hypothalamus;thalamus,28
PaR,pararubral nucleus,35,38,4,-4.1,-5.15,midbrain,35 36 37 38
PaS,parasubiculum,35,42,8,-4.1,-6.55,hippocampal,35 36 37 38 39 40 41 42
PaV,"paraventricular hypothalamic nucleus, ventral part",27,27,1,-1.3,-1.3,hypothalamus;thalamus,27
PaXi,paraxiphoid nucleus of thalamus,27,29,3,-1.3,-2.0,thalamus,27 28 29
PBG,parabigeminal nucleus,38,40,3,-5.15,-5.85,midbrain,38 39 40
PBP,parabrachial pigmented nucleus of the ventral tegmental area,33,37,5,-3.4,-4.8,midbrain;monoaminergic,33 34 35 36 37
PC,paracentral thalamic nucleus,27,30,4,-1.3,-2.35,thalamus,27 28 29 30
pc,posterior commissure,32,34,3,-3.05,-3.75,fiber_tract,32 33 34
PCGS,paracochlear glial substance,46,46,1,-7.95,-7.95,auditory,46
pcn,precentral fissure,43,46,4,-6.9,-7.95,cerebellum,43 44 45 46
PCom,nucleus of the posterior commissure,33,34,2,-3.4,-3.75,fiber_tract,33 34
PCRt,parvicellular reticular nucleus,46,54,9,-7.95,-10.75,brainstem,46 47 48 49 50 51 52 53 54
pcuf,preculminate fissure,43,47,5,-6.9,-8.3,cerebellum,43 44 45 46 47
PDR,posterodorsal raphe nucleus,39,42,4,-5.5,-6.55,brainstem;monoaminergic,39 40 41 42
PDTg,posterodorsal tegmental nucleus,45,45,1,-7.6,-7.6,midbrain,45
Pe,periventricular hypothalamic nucleus,23,30,8,0.1,-2.35,hypothalamus;thalamus,23 24 25 26 27 28 29 30
PeF,perifornical nucleus,29,30,2,-2.0,-2.35,hypothalamus,29 30
PeFLH,perifornical part of lateral hypothalamus,29,32,4,-2.0,-3.05,hypothalamus;thalamus,29 30 31 32
PF,parafascicular thalamic nucleus,31,32,2,-2.7,-3.05,thalamus,31 32
PFl,paraflocculus,43,50,8,-6.9,-9.35,cerebellum,43 44 45 46 47 48 49 50
pfs,parafloccular sulcus,44,50,7,-7.25,-9.35,cerebellum,44 45 46 47 48 49 50
PH,posterior hypothalamic nucleus,31,32,2,-2.7,-3.05,hypothalamus;thalamus,31 32
PHA,posterior hypothalamic area,33,33,1,-3.4,-3.4,hypothalamus;thalamus,33
PHD,"posterior hypothalamic area, dorsal part",30,31,2,-2.35,-2.7,hypothalamus;thalamus,30 31
PIF,parainterfascicular nucleus of the ventral tegmental area,36,37,2,-4.45,-4.8,midbrain;monoaminergic,36 37
PIL,posterior intralaminar thalamic nucleus,33,35,3,-3.4,-4.1,thalamus,33 34 35
Pir,piriform cortex,11,33,23,4.3,-3.4,cortex;olfactory,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
PL,paralemniscal nucleus,40,42,3,-5.85,-6.55,auditory,40 41 42
PLCo,posterolateral cortical amygdaloid nucleus,27,29,3,-1.3,-2.0,amygdala,27 28 29
plf,posterolateral fissure,43,55,13,-6.9,-11.1,cerebellum,43 44 45 46 47 48 49 50 51 52 53 54 55
PLH,peduncular part of lateral hypothalamus,26,33,8,-0.95,-3.4,hypothalamus;thalamus,26 27 28 29 30 31 32 33
PLi,posterior limitans thalamic nucleus,33,35,3,-3.4,-4.1,thalamus,33 34 35
PLV,"perilemniscal nucleus, ventral part",41,43,3,-6.2,-6.9,auditory,41 42 43
PM,paramedian lobule,49,56,8,-9.0,-11.45,cerebellum,49 50 51 52 53 54 55 56
pm,principal mammillary tract,33,34,2,-3.4,-3.75,fiber_tract;hypothalamus,33 34
PMCo,posteromedial cortical amygdaloid nucleus,29,33,5,-2.0,-3.4,amygdala,29 30 31 32 33
PMD,"premammillary nucleus, dorsal part",33,33,1,-3.4,-3.4,hypothalamus,33
PMnR,paramedian raphe nucleus,39,42,4,-5.5,-6.55,brainstem;monoaminergic,39 40 41 42
pms,paramedian sulcus,50,55,6,-9.35,-11.1,cerebellum,50 51 52 53 54 55
PMV,"premammillary nucleus, ventral part",32,33,2,-3.05,-3.4,hypothalamus,32 33
PN,paranigral nucleus of the ventral tegmental area,36,37,2,-4.45,-4.8,midbrain;monoaminergic,36 37
Pn,pontine nuclei,39,42,4,-5.5,-6.55,brainstem,39 40 41 42
PnC,"pontine reticular nucleus, caudal part",44,47,4,-7.25,-8.3,brainstem,44 45 46 47
PnO,"pontine reticular nucleus, oral part",39,43,5,-5.5,-6.9,brainstem,39 40 41 42 43
PnR,pontine raphe nucleus,43,43,1,-6.9,-6.9,brainstem;monoaminergic,43
PnV,"pontine reticular nucleus, ventral part",45,47,3,-7.6,-8.3,brainstem,45 46 47
Po,posterior thalamic nuclear group,28,33,6,-1.65,-3.4,thalamus,28 29 30 31 32 33
PoDG,polymorph layer of the dentate gyrus,28,35,8,-1.65,-4.1,hippocampal,28 29 30 31 32 33 34 35
PoMn,posteromedian thalamic nucleus,31,31,1,-2.7,-2.7,thalamus,31
Post,postsubiculum,35,40,6,-4.1,-5.85,hippocampal,35 36 37 38 39 40
PoT,"posterior thalamic nuclear group, triangular part",33,35,3,-3.4,-4.1,thalamus,33 34 35
PP,peripeduncular nucleus,33,35,3,-3.4,-4.1,midbrain,33 34 35
ppf,prepyramidal fissure,51,56,6,-9.7,-11.45,cerebellum,51 52 53 54 55 56
PPT,posterior pretectal nucleus,33,35,3,-3.4,-4.1,visual,33 34 35
PPy,parapyramidal nucleus,49,50,2,-9.0,-9.35,brainstem,49 50
Pr,prepositus nucleus,47,53,7,-8.3,-10.4,brainstem;vestibular,47 48 49 50 51 52 53
PR,prerubral field,31,34,4,-2.7,-3.75,midbrain,31 32 33 34
Pr5DM,"principal sensory trigeminal nucleus, dorsomedial part",44,47,4,-7.25,-8.3,somatosensory,44 45 46 47
Pr5VL,"principal sensory trigeminal nucleus, ventrolateral part",43,47,5,-6.9,-8.3,somatosensory,43 44 45 46 47
PrC,precommissural nucleus,31,33,3,-2.7,-3.4,midbrain,31 32 33
PrCnF,precuneiform area,38,41,4,-5.15,-6.2,midbrain,38 39 40 41
PrEW,pre-Edinger–Westphal nucleus,34,35,2,-3.75,-4.1,midbrain,34 35
prf,primary fissure,43,50,8,-6.9,-9.35,cerebellum,43 44 45 46 47 48 49 50
PRh,perirhinal cortex,28,42,15,-1.65,-6.55,cortex;hippocampal,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
PrL,prelimbic cortex,9,18,10,5.0,1.85,cortex,9 10 11 12 13 14 15 16 17 18
PrS,presubiculum,35,38,4,-4.1,-5.15,hippocampal,35 36 37 38
PS,parastrial nucleus,23,24,2,0.1,-0.25,hypothalamus,23 24
psf,posterior superior fissure,43,54,12,-6.9,-10.75,cerebellum,43 44 45 46 47 48 49 50 51 52 53 54
PSol,parasolitary nucleus,54,55,2,-10.75,-11.1,brainstem,54 55
PSTh,parasubthalamic nucleus,32,32,1,-3.05,-3.05,thalamus,32
PT,paratenial thalamic nucleus,25,27,3,-0.6,-1.3,thalamus,25 26 27
Pta,pericollicular tegmental area,39,43,5,-5.5,-6.9,auditory;midbrain,39 40 41 42 43
PTe,paraterete nucleus,29,30,2,-2.0,-2.35,thalamus,29 30
PTg,pedunculopontine tegmental nucleus,38,42,5,-5.15,-6.55,brainstem;midbrain,38 39 40 41 42
PtP,"parietal cortex, posterior area",28,31,4,-1.65,-2.7,cortex,28 29 30 31
PV,paraventricular thalamic nucleus,27,28,2,-1.3,-1.65,thalamus,27 28
PVA,"paraventricular thalamic nucleus, anterior part",25,26,2,-0.6,-0.95,thalamus,25 26
PVP,"paraventricular thalamic nucleus, posterior part",29,31,3,-2.0,-2.7,thalamus,29 30 31
Py,pyramidal cell layer of the hippocampus,27,36,10,-1.3,-4.45,hippocampal,27 28 29 30 31 32 33 34 35 36
py,pyramidal tract,43,58,16,-6.9,-12.15,fiber_tract;motor,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
pyx,pyramidal decussation,57,62,6,-11.8,-13.55,fiber_tract;motor,57 58 59 60 61 62
Rad,radiatum layer of the hippocampus,28,36,9,-1.65,-4.45,hippocampal,28 29 30 31 32 33 34 35 36
RAmb,retroambiguus nucleus,56,58,3,-11.45,-12.15,brainstem,56 57 58
RAPir,rostral amygdalopiriform area,28,30,3,-1.65,-2.35,amygdala;olfactory,28 29 30
Rbd,rhabdoid nucleus,39,39,1,-5.5,-5.5,midbrain,39
RCh,retrochiasmatic area,27,28,2,-1.3,-1.65,hypothalamus,27 28
RChL,"retrochiasmatic area, lateral part",27,27,1,-1.3,-1.3,hypothalamus,27
Re,reuniens thalamic nucleus,26,30,5,-0.95,-2.35,thalamus,26 27 28 29 30
REth,retroethmoid nucleus,33,33,1,-3.4,-3.4,thalamus,33
rf,rhinal fissure,7,41,35,5.7,-6.2,cerebellum;landmark,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
Rh,rhomboid thalamic nucleus,27,30,4,-1.3,-2.35,thalamus,27 28 29 30
ri,rhinal incisure,7,12,6,5.7,3.95,landmark,7 8 9 10 11 12
RI,rostral interstitial nucleus of medial longitudinal fasciculus,32,33,2,-3.05,-3.4,fiber_tract,32 33
RIP,raphe interpositus nucleus,46,48,3,-7.95,-8.65,brainstem;monoaminergic,46 47 48
RLi,rostral linear nucleus of the raphe,35,36,2,-4.1,-4.45,brainstem;monoaminergic,35 36
