abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
E,ependyma and subependymal layer,1,0,7.8,1.28,1.28,-6.77,label box,0.539,0.6829,0.0036,0.0114,,
E,ependyma and subependymal layer,1,1,7.8,-1.59,1.59,-6.78,label box,0.3903,0.6837,0.0036,0.0119,,
EPl,external plexiform layer of the olfactory bulb,1,0,7.8,1.07,1.07,-4.83,label box,0.5282,0.5262,0.0105,0.012,,
EPl,external plexiform layer of the olfactory bulb,1,1,7.8,-1.25,1.25,-4.86,label box,0.4081,0.5292,0.0109,0.0114,,
Gl,glomerular layer of the olfactory bulb,1,0,7.8,-1.39,1.39,-5.53,label box,0.4007,0.5831,0.0065,0.012,,
Gl,glomerular layer of the olfactory bulb,1,1,7.8,1.25,1.25,-5.49,label box,0.5373,0.5797,0.0069,0.012,,
GrO,granular cell layer of the olfactory bulb,1,0,7.8,0.64,0.64,-5.41,leader tip,0.5126,0.5452,0.0134,0.0125,0.5057,0.5731
GrO,granular cell layer of the olfactory bulb,1,1,7.8,-0.88,0.88,-5.09,label box,0.4272,0.5472,0.0134,0.0119,,
IPl,internal plexiform layer of the olfactory bulb,1,0,7.8,0.78,0.78,-4.85,leader tip,0.5313,0.4794,0.008,0.0119,0.5131,0.5282
IPl,internal plexiform layer of the olfactory bulb,1,1,7.8,-0.91,0.91,-4.82,leader tip,0.4066,0.4826,0.008,0.0114,0.4255,0.5255
Mi,mitral cell layer of the olfactory bulb,1,0,7.8,-0.75,0.75,-4.72,leader tip,0.4225,0.4752,0.008,0.0114,0.4338,0.5174
Mi,mitral cell layer of the olfactory bulb,1,1,7.8,0.66,0.66,-4.63,leader tip,0.5168,0.4723,0.008,0.0114,0.507,0.5105
ON,olfactory nerve layer,1,0,7.8,1.44,1.44,-5.88,label box,0.5475,0.6115,0.0105,0.0119,,
ON,olfactory nerve layer,1,1,7.8,-1.6,1.6,-5.92,label box,0.3896,0.6149,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),1,0,7.8,-0.74,0.74,-5.67,leader tip,0.4008,0.6837,0.0102,0.0119,0.4343,0.5942
aci,"anterior commissure, intrabulbar part",1,0,7.8,-0.67,0.67,-5.35,leader tip,0.3745,0.5227,0.0098,0.0119,0.4378,0.5686
aci,"anterior commissure, intrabulbar part",1,1,7.8,0.7,0.7,-5.23,leader tip,0.5639,0.5233,0.0098,0.0119,0.5092,0.5592
E,ependyma and subependymal layer,2,0,7.45,1.51,1.51,-6.73,label box,0.5509,0.6799,0.004,0.0114,,
E,ependyma and subependymal layer,2,1,7.45,-1.94,1.94,-6.83,label box,0.3724,0.6881,0.0036,0.0119,,
EPl,external plexiform layer of the olfactory bulb,2,0,7.45,-1.38,1.38,-5.61,label box,0.4012,0.5892,0.0109,0.0114,,
EPl,external plexiform layer of the olfactory bulb,2,1,7.45,1.22,1.22,-5.57,label box,0.5362,0.5864,0.0105,0.0114,,
Gl,glomerular layer of the olfactory bulb,2,0,7.45,1.5,1.5,-5.47,label box,0.5503,0.5781,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,2,1,7.45,-1.77,1.77,-5.5,label box,0.3812,0.5804,0.0065,0.0119,,
GrO,granular cell layer of the olfactory bulb,2,0,7.45,-1.01,1.01,-6.47,label box,0.4206,0.6588,0.0185,0.0233,,
GrO,granular cell layer of the olfactory bulb,2,1,7.45,0.87,0.87,-6.42,label box,0.5178,0.6549,0.0134,0.0125,,
IPl,internal plexiform layer of the olfactory bulb,2,0,7.45,-1.07,1.07,-4.67,leader tip,0.4053,0.4673,0.0076,0.0108,0.4173,0.5134
IPl,internal plexiform layer of the olfactory bulb,2,1,7.45,1.04,1.04,-4.59,leader tip,0.5425,0.4619,0.008,0.0114,0.5266,0.5072
Mi,mitral cell layer of the olfactory bulb,2,0,7.45,1.67,1.67,-4.14,label box,0.5592,0.4705,0.008,0.0114,,
Mi,mitral cell layer of the olfactory bulb,2,1,7.45,-1.63,1.63,-4.21,label box,0.3884,0.4761,0.0058,0.0114,,
ON,olfactory nerve layer,2,0,7.45,-1.91,1.91,-5.89,label box,0.3735,0.6119,0.0102,0.0125,,
ON,olfactory nerve layer,2,1,7.45,1.85,1.85,-5.89,label box,0.5685,0.6119,0.0098,0.0125,,
ON,olfactory nerve layer,2,2,7.45,-0.42,0.42,-7.04,label box,0.4508,0.7048,0.0105,0.0119,,
ON,olfactory nerve layer,2,3,7.45,0.39,0.39,-7.02,label box,0.4927,0.7031,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),2,0,7.45,1.72,1.72,-6.73,label box,0.5616,0.6802,0.0102,0.0119,,
aci,"anterior commissure, intrabulbar part",2,0,7.45,-1.35,1.35,-4.83,leader tip,0.3642,0.5126,0.0098,0.0119,0.4026,0.5264
aci,"anterior commissure, intrabulbar part",2,1,7.45,0.83,0.83,-4.95,leader tip,0.5819,0.5126,0.0102,0.0119,0.5157,0.536
E,ependyma and subependymal layer,3,0,7.1,1.27,1.27,-6.99,label box,0.5383,0.7009,0.0036,0.0114,,
E,ependyma and subependymal layer,3,1,7.1,-1.64,1.64,-7.06,label box,0.388,0.7069,0.0036,0.0119,,
EPl,external plexiform layer of the olfactory bulb,3,0,7.1,1.41,1.41,-5.44,label box,0.546,0.5761,0.0105,0.0114,,
EPl,external plexiform layer of the olfactory bulb,3,1,7.1,-1.56,1.56,-5.56,label box,0.3919,0.5852,0.0105,0.0114,,
Gl,glomerular layer of the olfactory bulb,3,0,7.1,-1.84,1.84,-5.67,label box,0.3772,0.5946,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,3,1,7.1,1.64,1.64,-5.63,label box,0.5578,0.5913,0.0069,0.0125,,
GrA,granule cell layer of the accessory olfactory bulb,3,0,7.1,1.28,1.28,-4.77,leader tip,0.5808,0.512,0.0131,0.0119,0.5389,0.5213
GrO,granular cell layer of the olfactory bulb,3,0,7.1,1.08,1.08,-5.3,label box,0.5289,0.5645,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,3,1,7.1,-1.25,1.25,-5.32,label box,0.4078,0.5665,0.0134,0.0119,,
IPl,internal plexiform layer of the olfactory bulb,3,0,7.1,1.23,1.23,-4.46,leader tip,0.5492,0.4521,0.008,0.0114,0.5366,0.497
IPl,internal plexiform layer of the olfactory bulb,3,1,7.1,-1.29,1.29,-4.45,leader tip,0.3958,0.4609,0.0084,0.0119,0.406,0.4958
Mi,mitral cell layer of the olfactory bulb,3,0,7.1,1.58,1.58,-4.24,leader tip,0.5643,0.4648,0.008,0.0114,0.5547,0.4792
Mi,mitral cell layer of the olfactory bulb,3,1,7.1,-1.44,1.44,-4.66,leader tip,0.3844,0.4781,0.0094,0.0153,0.3981,0.5131
ON,olfactory nerve layer,3,0,7.1,0.44,0.44,-7.19,label box,0.4953,0.7171,0.0105,0.0119,,
ON,olfactory nerve layer,3,1,7.1,-0.61,0.61,-7.21,label box,0.441,0.7191,0.0102,0.0125,,
OV,olfactory ventricle (olfactory part of lateral ventricle),3,0,7.1,-0.96,0.96,-6.12,leader tip,0.3987,0.7069,0.0105,0.0119,0.4229,0.6309
aci,"anterior commissure, intrabulbar part",3,0,7.1,1.39,1.39,-5.03,leader tip,0.587,0.5361,0.0098,0.0119,0.5446,0.5426
aci,"anterior commissure, intrabulbar part",3,1,7.1,-1.27,1.27,-5.08,leader tip,0.3599,0.5413,0.0098,0.0091,0.4068,0.5466
E,ependyma and subependymal layer,4,0,6.75,0.97,0.97,-6.04,leader tip,0.5492,0.7086,0.0036,0.0119,0.5231,0.6241
E,ependyma and subependymal layer,4,1,6.75,-1.85,1.85,-7.11,label box,0.3768,0.7111,0.0036,0.0114,,
EPl,external plexiform layer of the olfactory bulb,4,0,6.75,1.68,1.68,-5.36,label box,0.5596,0.569,0.0109,0.021,,
EPl,external plexiform layer of the olfactory bulb,4,1,6.75,-1.82,1.82,-5.41,label box,0.3782,0.5734,0.0109,0.0119,,
Gl,glomerular layer of the olfactory bulb,4,0,6.75,1.88,1.88,-5.68,label box,0.5703,0.5952,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,4,1,6.75,-1.92,1.92,-5.93,label box,0.3732,0.6156,0.0065,0.0119,,
GrA,granule cell layer of the accessory olfactory bulb,4,0,6.75,-1.08,1.08,-4.9,leader tip,0.3584,0.5171,0.0134,0.0119,0.4169,0.5324
GrA,granule cell layer of the accessory olfactory bulb,4,1,6.75,1.04,1.04,-4.91,leader tip,0.5852,0.5171,0.0131,0.0119,0.5266,0.533
GrO,granular cell layer of the olfactory bulb,4,0,6.75,-1.42,1.42,-5.33,label box,0.3992,0.5668,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,4,1,6.75,1.78,1.78,-5.05,leader tip,0.536,0.5634,0.0116,0.0301,0.5651,0.5444
IPl,internal plexiform layer of the olfactory bulb,4,0,6.75,-1.44,1.44,-4.41,leader tip,0.3884,0.4588,0.008,0.0119,0.398,0.4923
IPl,internal plexiform layer of the olfactory bulb,4,1,6.75,1.37,1.37,-4.46,leader tip,0.5558,0.4565,0.0084,0.0244,0.5439,0.4965
Mi,mitral cell layer of the olfactory bulb,4,0,6.75,-1.61,1.61,-4.61,leader tip,0.3757,0.4756,0.008,0.0114,0.3893,0.509
Mi,mitral cell layer of the olfactory bulb,4,1,6.75,1.53,1.53,-4.61,leader tip,0.5689,0.4716,0.0113,0.0148,0.552,0.5089
ON,olfactory nerve layer,4,0,6.75,-0.55,0.55,-7.17,label box,0.444,0.7159,0.0102,0.0125,,
ON,olfactory nerve layer,4,1,6.75,0.48,0.48,-7.16,label box,0.4978,0.7151,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),4,0,6.75,1.68,1.68,-7.08,label box,0.5598,0.7086,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),4,1,6.75,-1.42,1.42,-6.75,leader tip,0.3873,0.7114,0.0102,0.0119,0.3991,0.6818
aci,"anterior commissure, intrabulbar part",4,0,6.75,1.34,1.34,-5.11,leader tip,0.5901,0.5427,0.0098,0.0119,0.5424,0.5492
aci,"anterior commissure, intrabulbar part",4,1,6.75,-1.28,1.28,-5.13,leader tip,0.3541,0.5438,0.0098,0.0119,0.4064,0.5506
E,ependyma and subependymal layer,5,0,6.4,1.5,1.5,-7.19,label box,0.5503,0.7174,0.0036,0.0114,,
E,ependyma and subependymal layer,5,1,6.4,-1.88,1.88,-7.21,label box,0.3751,0.7188,0.004,0.0119,,
EPl,external plexiform layer of the olfactory bulb,5,0,6.4,-1.99,1.99,-5.6,label box,0.3697,0.5889,0.0105,0.0119,,
EPl,external plexiform layer of the olfactory bulb,5,1,6.4,1.82,1.82,-5.64,label box,0.5672,0.592,0.0109,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,5,0,6.4,-1.43,1.43,-4.2,leader tip,0.3911,0.4509,0.0163,0.0114,0.3985,0.4758
Gl,glomerular layer of the olfactory bulb,5,0,6.4,0.29,0.29,-6.66,label box,0.4875,0.6741,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,5,1,6.4,-0.55,0.55,-7.02,label box,0.444,0.7031,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,5,2,6.4,2.11,2.11,-5.73,label box,0.5821,0.5989,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,5,3,6.4,-2.13,2.13,-6.45,label box,0.3621,0.6577,0.0069,0.0125,,
GlA,glomerular layer of the accessory olfactory bulb,5,0,6.4,-1.11,1.11,-3.8,label box,0.4152,0.443,0.0123,0.0125,,
GlA,glomerular layer of the accessory olfactory bulb,5,1,6.4,1.76,1.76,-3.96,label box,0.5641,0.4566,0.0123,0.0125,,
GrA,granule cell layer of the accessory olfactory bulb,5,0,6.4,1.59,1.59,-4.76,leader tip,0.5897,0.5069,0.0134,0.0119,0.5552,0.5211
GrA,granule cell layer of the accessory olfactory bulb,5,1,6.4,-1.4,1.4,-5.02,leader tip,0.3515,0.5245,0.0134,0.0119,0.4001,0.5419
GrO,granular cell layer of the olfactory bulb,5,0,6.4,-1.6,1.6,-5.4,label box,0.39,0.5728,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,5,1,6.4,1.39,1.39,-5.42,label box,0.5447,0.5745,0.0134,0.0119,,
IPl,internal plexiform layer of the olfactory bulb,5,0,6.4,1.42,1.42,-6.08,leader tip,0.597,0.6256,0.008,0.0114,0.5463,0.6272
IPl,internal plexiform layer of the olfactory bulb,5,1,6.4,-1.62,1.62,-6.05,leader tip,0.355,0.6268,0.008,0.0119,0.3887,0.6251
Mi,mitral cell layer of the olfactory bulb,5,0,6.4,1.57,1.57,-5.85,leader tip,0.5972,0.6057,0.008,0.0119,0.5543,0.6086
Mi,mitral cell layer of the olfactory bulb,5,1,6.4,-1.71,1.71,-5.83,leader tip,0.3552,0.6077,0.0084,0.0114,0.384,0.607
MiA,mitral cell layer of the accessory olfactory bulb,5,0,6.4,-1.25,1.25,-4.81,leader tip,0.369,0.4631,0.0134,0.0114,0.4077,0.5253
MiA,mitral cell layer of the accessory olfactory bulb,5,1,6.4,1.07,1.07,-4.78,leader tip,0.5866,0.4862,0.0138,0.0114,0.5284,0.5227
ON,olfactory nerve layer,5,0,6.4,-0.47,0.47,-7.35,label box,0.4484,0.7304,0.0102,0.0119,,
ON,olfactory nerve layer,5,1,6.4,0.39,0.39,-7.33,label box,0.4927,0.7287,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),5,0,6.4,-1.15,1.15,-6.12,leader tip,0.3858,0.7188,0.0102,0.0119,0.4133,0.631
aci,"anterior commissure, intrabulbar part",5,0,6.4,-1.4,1.4,-5.32,leader tip,0.3526,0.5478,0.0098,0.0119,0.4003,0.5659
dlo,dorsal lateral olfactory tract,5,0,6.4,1.25,1.25,-4.99,leader tip,0.591,0.5222,0.0105,0.0114,0.5374,0.5396
dlo,dorsal lateral olfactory tract,5,1,6.4,-1.52,1.52,-4.8,leader tip,0.3572,0.5052,0.0102,0.0119,0.3939,0.524
lo,lateral olfactory tract,5,0,6.4,-1.6,1.6,-6.46,leader tip,0.3661,0.6824,0.0055,0.0114,0.39,0.6582
lo,lateral olfactory tract,5,1,6.4,1.84,1.84,-6.39,leader tip,0.5899,0.6523,0.0058,0.0119,0.5681,0.6527
AOE,"anterior olfactory nucleus, external part",6,0,6.05,-1.95,1.95,-5.93,leader tip,0.3463,0.616,0.0152,0.0119,0.3717,0.6151
AOL,"anterior olfactory nucleus, lateral part",6,0,6.05,-1.93,1.93,-5.72,leader tip,0.3463,0.5992,0.0152,0.0125,0.3728,0.5981
E,ependyma and subependymal layer,6,0,6.05,-2.01,2.01,-7.15,label box,0.3688,0.7143,0.0036,0.0119,,
E,ependyma and subependymal layer,6,1,6.05,1.54,1.54,-7.2,label box,0.5527,0.7177,0.004,0.0119,,
EPl,external plexiform layer of the olfactory bulb,6,0,6.05,1.78,1.78,-5.99,label box,0.565,0.6202,0.0105,0.0114,,
EPl,external plexiform layer of the olfactory bulb,6,1,6.05,-0.75,0.75,-6.74,label box,0.4341,0.681,0.0109,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,6,0,6.05,-1.21,1.21,-5.14,label box,0.4101,0.5517,0.0164,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,6,1,6.05,1.5,1.5,-4.56,leader tip,0.5765,0.4674,0.0167,0.0114,0.5502,0.5045
Gl,glomerular layer of the olfactory bulb,6,0,6.05,0.3,0.3,-6.22,label box,0.4884,0.6389,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,6,1,6.05,-0.57,0.57,-6.93,label box,0.4433,0.6963,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,6,2,6.05,2.03,2.03,-6.12,label box,0.5777,0.6307,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,6,3,6.05,-2.22,2.22,-6.42,label box,0.3579,0.6552,0.0065,0.0119,,
GlA,glomerular layer of the accessory olfactory bulb,6,0,6.05,-1.22,1.22,-4.85,leader tip,0.3611,0.4796,0.0123,0.0119,0.4094,0.528
GrA,granule cell layer of the accessory olfactory bulb,6,0,6.05,1.54,1.54,-4.81,leader tip,0.5937,0.508,0.0134,0.0119,0.5524,0.5247
GrA,granule cell layer of the accessory olfactory bulb,6,1,6.05,-2.36,2.36,-4.74,label box,0.3504,0.5194,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,6,0,6.05,1.76,1.76,-5.07,label box,0.5641,0.5457,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,6,1,6.05,-1.11,1.11,-6.49,label box,0.4152,0.6608,0.0134,0.0125,,
IPl,internal plexiform layer of the olfactory bulb,6,0,6.05,1.97,1.97,-4.78,leader tip,0.5921,0.5239,0.0142,0.0114,0.5746,0.5225
IPl,internal plexiform layer of the olfactory bulb,6,1,6.05,-1.95,1.95,-7.21,leader tip,0.3733,0.6958,0.0084,0.0114,0.3716,0.7185
Mi,mitral cell layer of the olfactory bulb,6,0,6.05,2.22,2.22,-4.99,label box,0.5876,0.5398,0.0247,0.0125,,
MiA,mitral cell layer of the accessory olfactory bulb,6,0,6.05,-1.13,1.13,-5.39,label box,0.4141,0.5716,0.0134,0.0114,,
MiA,mitral cell layer of the accessory olfactory bulb,6,1,6.05,1.36,1.36,-4.81,leader tip,0.5895,0.493,0.0138,0.0114,0.5433,0.5249
ON,olfactory nerve layer,6,0,6.05,-0.45,0.45,-7.19,label box,0.4495,0.7173,0.0102,0.0119,,
ON,olfactory nerve layer,6,1,6.05,0.51,0.51,-7.22,label box,0.4989,0.7193,0.0102,0.0114,,
OV,olfactory ventricle (olfactory part of lateral ventricle),6,0,6.05,1.75,1.75,-7.2,label box,0.5634,0.7177,0.0102,0.0119,,
aci,"anterior commissure, intrabulbar part",6,0,6.05,1.21,1.21,-5.56,leader tip,0.5981,0.6131,0.0098,0.0119,0.5356,0.5857
aci,"anterior commissure, intrabulbar part",6,1,6.05,-1.7,1.7,-5.35,leader tip,0.3468,0.5563,0.0098,0.0119,0.3847,0.5685
dlo,dorsal lateral olfactory tract,6,0,6.05,-1.5,1.5,-5.33,leader tip,0.3472,0.5393,0.0105,0.0119,0.3948,0.5673
dlo,dorsal lateral olfactory tract,6,1,6.05,1.43,1.43,-5.26,leader tip,0.5995,0.5785,0.0105,0.0119,0.547,0.561
lo,lateral olfactory tract,6,0,6.05,-1.75,1.75,-6.16,leader tip,0.3552,0.6335,0.0055,0.0114,0.3822,0.6339
AOE,"anterior olfactory nucleus, external part",7,0,5.7,1.79,1.79,-5.95,leader tip,0.607,0.6177,0.0152,0.0119,0.5656,0.6171
AOE,"anterior olfactory nucleus, external part",7,1,5.7,-2.08,2.08,-6.05,leader tip,0.3434,0.6242,0.0152,0.0125,0.3648,0.6253
AOL,"anterior olfactory nucleus, lateral part",7,0,5.7,1.62,1.62,-6.14,leader tip,0.6054,0.6335,0.0153,0.0114,0.5565,0.6327
AOL,"anterior olfactory nucleus, lateral part",7,1,5.7,-1.9,1.9,-6.23,leader tip,0.347,0.6393,0.0152,0.0119,0.3742,0.6396
E,ependyma and subependymal layer,7,0,5.7,-2.46,2.46,-6.79,label box,0.345,0.6847,0.004,0.0119,,
E,ependyma and subependymal layer,7,1,5.7,1.58,1.58,-6.51,leader tip,0.5815,0.6847,0.0036,0.0119,0.5548,0.6623
EPl,external plexiform layer of the olfactory bulb,7,0,5.7,-0.54,0.54,-6.7,label box,0.4449,0.6773,0.0105,0.0114,,
EPl,external plexiform layer of the olfactory bulb,7,1,5.7,0.49,0.49,-6.71,label box,0.498,0.6784,0.0105,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,7,0,5.7,1.19,1.19,-4.98,label box,0.5343,0.5386,0.0164,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,7,1,5.7,-2.44,2.44,-4.91,label box,0.3464,0.5333,0.0163,0.0114,,
FrA,frontal association cortex,7,0,5.7,-1.16,1.16,-4.2,label box,0.4126,0.4756,0.0113,0.0114,,
Gl,glomerular layer of the olfactory bulb,7,0,5.7,-0.7,0.7,-7.36,label box,0.4366,0.731,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,7,1,5.7,0.84,0.84,-7.39,label box,0.5164,0.7335,0.0065,0.0114,,
GlA,glomerular layer of the accessory olfactory bulb,7,0,5.7,0.96,0.96,-4.06,label box,0.5225,0.4642,0.0167,0.0261,,
GlA,glomerular layer of the accessory olfactory bulb,7,1,5.7,-1.14,1.14,-4.97,label box,0.4137,0.5378,0.012,0.0119,,
GrA,granule cell layer of the accessory olfactory bulb,7,0,5.7,1.61,1.61,-5.06,leader tip,0.6032,0.5366,0.0131,0.0119,0.556,0.5452
GrA,granule cell layer of the accessory olfactory bulb,7,1,5.7,-1.92,1.92,-5.66,leader tip,0.3435,0.5887,0.0134,0.0119,0.373,0.5932
GrO,granular cell layer of the olfactory bulb,7,0,5.7,-0.91,0.91,-6.45,label box,0.4255,0.6571,0.0131,0.0199,,
GrO,granular cell layer of the olfactory bulb,7,1,5.7,0.86,0.86,-6.45,label box,0.5175,0.6577,0.0134,0.0125,,
IPl,internal plexiform layer of the olfactory bulb,7,0,5.7,-1.77,1.77,-7.3,label box,0.3812,0.7264,0.008,0.0108,,
IPl,internal plexiform layer of the olfactory bulb,7,1,5.7,1.86,1.86,-7.16,label box,0.569,0.7151,0.008,0.0119,,
Mi,mitral cell layer of the olfactory bulb,7,0,5.7,1.64,1.64,-6.78,leader tip,0.5779,0.7012,0.008,0.0119,0.5576,0.6839
Mi,mitral cell layer of the olfactory bulb,7,1,5.7,-1.91,1.91,-7.11,label box,0.3735,0.7109,0.008,0.0119,,
MiA,mitral cell layer of the accessory olfactory bulb,7,0,5.7,-1.37,1.37,-5.44,leader tip,0.3468,0.5523,0.0134,0.0119,0.4017,0.5762
ON,olfactory nerve layer,7,0,5.7,-0.4,0.4,-7.52,label box,0.452,0.744,0.0102,0.0119,,
ON,olfactory nerve layer,7,1,5.7,0.36,0.36,-7.54,label box,0.4913,0.7457,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),7,0,5.7,-1.88,1.88,-6.62,leader tip,0.3557,0.6847,0.0102,0.0119,0.3752,0.6712
OV,olfactory ventricle (olfactory part of lateral ventricle),7,1,5.7,2.31,2.31,-6.79,label box,0.5924,0.6847,0.0102,0.0119,,
aci,"anterior commissure, intrabulbar part",7,0,5.7,1.34,1.34,-5.67,leader tip,0.6092,0.596,0.0098,0.0091,0.542,0.5947
dlo,dorsal lateral olfactory tract,7,0,5.7,1.5,1.5,-5.17,leader tip,0.6034,0.5534,0.0105,0.0114,0.5503,0.5543
dlo,dorsal lateral olfactory tract,7,1,5.7,-1.38,1.38,-5.62,leader tip,0.3454,0.5677,0.0105,0.0119,0.4012,0.5901
lo,lateral olfactory tract,7,0,5.7,1.81,1.81,-5.44,leader tip,0.6055,0.5756,0.0058,0.0119,0.5667,0.5759
lo,lateral olfactory tract,7,1,5.7,-2.12,2.12,-5.85,leader tip,0.3426,0.6063,0.0058,0.0119,0.363,0.609
rf,rhinal fissure,7,0,5.7,-2.15,2.15,-4.81,label box,0.3612,0.5247,0.0051,0.0119,,
ri,rhinal incisure,7,0,5.7,-0.25,0.25,-4.48,label box,0.4599,0.4981,0.0036,0.0114,,
AOD,"anterior olfactory nucleus, dorsal part",8,0,5.35,-1.31,1.31,-5.91,label box,0.4048,0.6134,0.016,0.0119,,
AOE,"anterior olfactory nucleus, external part",8,0,5.35,1.91,1.91,-6,leader tip,0.5932,0.618,0.0152,0.0125,0.5718,0.6208
AOE,"anterior olfactory nucleus, external part",8,1,5.35,-1.88,1.88,-6.26,leader tip,0.3493,0.6418,0.0149,0.0125,0.3753,0.6422
AOL,"anterior olfactory nucleus, lateral part",8,0,5.35,1.45,1.45,-5.72,label box,0.548,0.5986,0.0153,0.0119,,
AOL,"anterior olfactory nucleus, lateral part",8,1,5.35,-1.65,1.65,-6.03,label box,0.3874,0.6236,0.0153,0.0119,,
AOL,"anterior olfactory nucleus, lateral part",8,2,5.35,1.78,1.78,-6.16,leader tip,0.5928,0.6327,0.0152,0.0125,0.5652,0.6339
AOV,"anterior olfactory nucleus, ventral part",8,0,5.35,-1.51,1.51,-6.31,label box,0.3944,0.6461,0.0156,0.0119,,
E,ependyma and subependymal layer,8,0,5.35,-2.19,2.19,-6.9,label box,0.359,0.6935,0.0036,0.0114,,
E,ependyma and subependymal layer,8,1,5.35,1.1,1.1,-6.2,leader tip,0.5652,0.6949,0.0036,0.0119,0.5297,0.6371
EPl,external plexiform layer of the olfactory bulb,8,0,5.35,1.94,1.94,-6.31,leader tip,0.5881,0.6472,0.0105,0.0114,0.5732,0.6464
EPl,external plexiform layer of the olfactory bulb,8,1,5.35,-0.56,0.56,-6.82,label box,0.4437,0.6875,0.0153,0.0193,,
EPl,external plexiform layer of the olfactory bulb,8,2,5.35,0.62,0.62,-6.8,label box,0.5049,0.6858,0.0105,0.0114,,
EPlA,external plexiform layer of the accessory olfactory bulb,8,0,5.35,-1.45,1.45,-5.28,leader tip,0.3497,0.5352,0.0164,0.0114,0.3977,0.5628
EPlA,external plexiform layer of the accessory olfactory bulb,8,1,5.35,1.6,1.6,-5.32,leader tip,0.532,0.5625,0.016,0.0114,0.5557,0.566
FrA,frontal association cortex,8,0,5.35,-1.31,1.31,-4.02,label box,0.405,0.4614,0.0113,0.0114,,
FrA,frontal association cortex,8,1,5.35,1.14,1.14,-3.98,label box,0.5318,0.458,0.0113,0.0114,,
Gl,glomerular layer of the olfactory bulb,8,0,5.35,-0.46,0.46,-7.14,label box,0.4488,0.7134,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,8,1,5.35,1,1,-7.23,label box,0.5243,0.7202,0.0065,0.0119,,
Gl,glomerular layer of the olfactory bulb,8,2,5.35,1.97,1.97,-6.65,label box,0.5748,0.6734,0.0069,0.0119,,
GlA,glomerular layer of the accessory olfactory bulb,8,0,5.35,0.77,0.77,-4.63,label box,0.5125,0.5105,0.012,0.0119,,
GlA,glomerular layer of the accessory olfactory bulb,8,1,5.35,1.15,1.15,-4.88,label box,0.5322,0.5304,0.012,0.0119,,
GlA,glomerular layer of the accessory olfactory bulb,8,2,5.35,-1.04,1.04,-5.07,label box,0.419,0.5457,0.0124,0.0119,,
GrA,granule cell layer of the accessory olfactory bulb,8,0,5.35,-1.56,1.56,-5.63,leader tip,0.3581,0.6043,0.0309,0.0131,0.3918,0.5908
GrA,granule cell layer of the accessory olfactory bulb,8,1,5.35,1.45,1.45,-5.44,leader tip,0.5944,0.5944,0.0134,0.0119,0.5481,0.576
GrA,granule cell layer of the accessory olfactory bulb,8,2,5.35,-2.38,2.38,-5.79,label box,0.3492,0.6043,0.0131,0.0125,,
GrO,granular cell layer of the olfactory bulb,8,0,5.35,0.94,0.94,-6.48,label box,0.5213,0.6599,0.0134,0.0119,,
GrO,granular cell layer of the olfactory bulb,8,1,5.35,-0.86,0.86,-6.53,label box,0.4281,0.664,0.0134,0.0125,,
IPl,internal plexiform layer of the olfactory bulb,8,0,5.35,-1.17,1.17,-7.04,leader tip,0.3997,0.7381,0.008,0.0114,0.4121,0.7052
LO,lateral orbital cortex,8,0,5.35,-1.11,1.11,-4.72,label box,0.415,0.5173,0.0087,0.0119,,
MO,medial orbital cortex,8,0,5.35,-0.46,0.46,-4.6,label box,0.4488,0.508,0.0116,0.0114,,
Mi,mitral cell layer of the olfactory bulb,8,0,5.35,-1.61,1.61,-7.26,label box,0.3891,0.7225,0.008,0.0114,,
