abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
9bCb,"9th cerebellar lobule, b",59,0,-12.5,-0.1,0.1,-4.02,label box,0.4677,0.4609,0.0258,0.0131,,
9cCb,"9th cerebellar lobule, c",59,0,-12.5,-0.1,0.1,-4.49,label box,0.4673,0.4991,0.0189,0.0119,,
Cu,cuneate nucleus,59,0,-12.5,0.52,0.52,-6.13,label box,0.4998,0.6315,0.0091,0.0119,,
Ge5,gelatinous layer of the caudal spinal trigeminal nucleus,59,0,-12.5,1.49,1.49,-5.86,label box,0.55,0.6099,0.0134,0.0119,,
Ge5,gelatinous layer of the caudal spinal trigeminal nucleus,59,1,-12.5,-1.46,1.46,-5.87,label box,0.3969,0.6109,0.0142,0.0119,,
IB,interstitial nucleus of the medulla,59,0,-12.5,-0.41,0.41,-6.34,label box,0.4515,0.6486,0.0062,0.0119,,
IB,interstitial nucleus of the medulla,59,1,-12.5,0.5,0.5,-6.28,label box,0.4987,0.644,0.0062,0.0119,,
IRt,intermediate reticular nucleus,59,0,-12.5,-0.95,0.95,-6.62,label box,0.4233,0.671,0.0094,0.0114,,
IRt,intermediate reticular nucleus,59,1,-12.5,1,1,-6.62,label box,0.5247,0.6711,0.0098,0.0119,,
LRt,lateral reticular nucleus,59,0,-12.5,1.27,1.27,-7.54,label box,0.5383,0.7455,0.012,0.0114,,
MdD,"medullary reticular nucleus, dorsal part",59,0,-12.5,-0.87,0.87,-6.37,label box,0.4276,0.6506,0.0167,0.0119,,
MdD,"medullary reticular nucleus, dorsal part",59,1,-12.5,1.02,1.02,-6.38,label box,0.5254,0.6518,0.0163,0.0119,,
MdV,"medullary reticular nucleus, ventral part",59,0,-12.5,-0.92,0.92,-7.12,label box,0.4251,0.7114,0.016,0.0114,,
MdV,"medullary reticular nucleus, ventral part",59,1,-12.5,0.83,0.83,-7.1,label box,0.5156,0.7102,0.016,0.0114,,
MnA,median accessory nucleus of the medulla,59,0,-12.5,0.04,0.04,-5.62,label box,0.4746,0.5907,0.0156,0.0114,,
Mx,matrix region of the medulla,59,0,-12.5,-0.83,0.83,-6.15,label box,0.4295,0.6335,0.0102,0.0114,,
Mx,matrix region of the medulla,59,1,-12.5,0.8,0.8,-6.18,label box,0.5142,0.6356,0.0105,0.0114,,
Sp5C,"spinal trigeminal nucleus, caudal part",59,0,-12.5,-1.42,1.42,-6.2,label box,0.3993,0.6372,0.0247,0.0244,,
Sp5C,"spinal trigeminal nucleus, caudal part",59,1,-12.5,1.53,1.53,-6.23,label box,0.5518,0.6395,0.0193,0.0142,,
cu,cuneate fasciculus,59,0,-12.5,-0.55,0.55,-5.97,label box,0.4444,0.6188,0.008,0.0091,,
cu,cuneate fasciculus,59,1,-12.5,0.52,0.52,-5.94,label box,0.4996,0.6165,0.008,0.0091,,
cu,cuneate fasciculus,59,2,-12.5,-0.51,0.51,-6.17,label box,0.4461,0.6344,0.0094,0.0125,,
dsc,dorsal spinocerebellar tract,59,0,-12.5,-1.59,1.59,-7.29,label box,0.3903,0.7253,0.0124,0.0119,,
dsc,dorsal spinocerebellar tract,59,1,-12.5,1.66,1.66,-7.14,label box,0.5589,0.7128,0.0116,0.0222,,
mlf,medial longitudinal fasciculus,59,0,-12.5,0.29,0.29,-7.18,label box,0.4876,0.7165,0.0109,0.0114,,
mlf,medial longitudinal fasciculus,59,1,-12.5,-0.23,0.23,-7.18,label box,0.461,0.7165,0.0109,0.0119,,
pyx,pyramidal decussation,59,0,-12.5,0.03,0.03,-7.36,label box,0.4742,0.7312,0.0124,0.0114,,
