abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
CLi,caudal linear nucleus of the raphe,brainstem;monoaminergic,37,39,3,37 38 39,3,3,-5.15,0.01,-5.95,3,0.553,0.352,0.65,0.1906,surface,1,-0.01,-5.8,-5.19
cll,commissure of the lateral lemniscus,auditory;fiber_tract,41,42,2,41 42,3,2,-6.2,2.15,-5.32,2,0.312,0.223,0.58,0.0994,slab,2,-2.09,-5.34,-6.37
CM,central medial thalamic nucleus,thalamus,26,31,6,26 27 28 29 30 31,6,6,-1.82,0.03,-5.16,6,1.301,0.424,0.47,0.452,surface,1,0.01,-5.15,-1.82
CnF,cuneiform nucleus,midbrain,41,43,3,41 42 43,6,3,-6.55,1.63,-4.66,3,2.143,1.12,0.86,0.7436,surface,1,-0.6,-4.52,-6.65
Cop,copula of the pyramis,cerebellum,49,57,9,49 50 51 52 53 54 55 56 57,18,9,-10.4,1.93,-4.26,8,13.42,2.825,0.52,5.1184,surface,2,-1.82,-4.06,-10.68
cp,cerebral peduncle,fiber_tract,28,39,12,28 29 30 31 32 33 34 35 36 37 38 39,23,12,-3.4,1.88,-6.88,12,12.728,2.118,0.94,4.6944,surface,3,-2.2,-6.56,-3.23
CPO,caudal periolivary nucleus,auditory,48,48,1,48,2,1,-8.65,1.41,-8.32,1,0.695,0.695,0.98,0.2193,slab,2,-1.34,-8.4,-8.65
CPu,caudate putamen (striatum),motor,17,30,14,17 18 19 20 21 22 23 24 25 26 27 28 29 30,28,14,-0.07,2.88,-4.76,14,136.553,17.301,0.88,49.921,surface,2,2.86,-4.73,0.03
Crus1,crus 1 of the ansiform lobule,cerebellum,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,34,12,-9,3.14,-1.85,12,73.035,14.972,0.22,27.018,surface,2,-2.81,-2.34,-8.73
Crus2,crus 2 of the ansiform lobule,cerebellum,49,55,7,49 50 51 52 53 54 55,17,7,-10.05,2.88,-2.56,7,29.382,7.555,0.23,10.3484,surface,2,2.53,-2.63,-10.08
csc,commissure of the superior colliculus,fiber_tract;midbrain;visual,34,36,3,34 35 36,3,3,-4.1,0.04,-3.64,3,0.679,0.329,0.59,0.2269,surface,1,-0.1,-3.57,-4.1
cst,commissural stria terminalis,basal_forebrain;fiber_tract,26,27,2,26 27,3,2,-0.95,2.86,-7.47,2,0.103,0.069,1,0.0298,slab,3,3.09,-7.07,-1.38
cu,cuneate fasciculus,fiber_tract;somatosensory,53,62,10,53 54 55 56 57 58 59 60 61 62,19,9,-12.15,0.72,-5.74,9,2.983,0.566,0.68,1.0221,surface,5,-0.71,-5.86,-12.45
Cu,cuneate nucleus,somatosensory,52,62,11,52 53 54 55 56 57 58 59 60 61 62,18,10,-11.8,0.76,-5.68,9,1.69,0.47,0.76,0.6051,surface,5,1.45,-5.45,-10.73
CuR,"cuneate nucleus, rotundus part",somatosensory,55,56,2,55 56,4,2,-11.27,0.89,-5.55,2,0.682,0.387,0.8,0.2524,slab,2,0.99,-5.56,-11.29
CVL,caudoventrolateral reticular nucleus,brainstem,52,53,2,52 53,1,1,-10.4,1.68,-7.52,1,0.071,0.071,0.68,0.0413,slab,1,1.64,-7.56,-10.44
CxA,cortex-amygdala transition zone,amygdala;cortex,24,26,3,24 25 26,6,3,-0.6,4,-8.34,3,0.506,0.187,0.88,0.1908,surface,3,3.89,-8.33,-0.7
DA,dorsal hypothalamic area,hypothalamus;thalamus,29,30,2,29 30,4,2,-2.17,0.4,-6.54,2,0.539,0.326,0.75,0.1989,slab,1,0.05,-6.56,-2.13
das,dorsal acoustic stria,auditory,49,50,2,49 50,4,2,-9.18,1.72,-5.11,2,0.479,0.446,0.74,0.1273,slab,2,-1.71,-4.95,-9.1
DCDp,"dorsal cochlear nucleus, deep core",auditory,49,50,2,49 50,4,2,-9.18,2.52,-5.28,2,1.211,0.783,0.94,0.4965,slab,2,-2.53,-5.41,-9.25
DCFu,"dorsal cochlear nucleus, fusiform layer",auditory,48,50,3,48 49 50,6,3,-9,2.69,-5.11,3,1.144,0.522,0.57,0.4894,surface,3,2.6,-5.11,-9.27
DCIC,dorsal cortex of the inferior colliculus,auditory;cortex;midbrain,40,43,4,40 41 42 43,8,4,-6.38,1.36,-2.6,4,5.606,2.58,0.83,2.0189,surface,2,1.14,-2.54,-6.53
DCl,dorsal part of claustrum,claustrum,16,26,11,16 17 18 19 20 21 22 23 24 25 26,22,11,0.8,3.21,-5.53,11,0.992,0.123,0.71,0.234,surface,15,-2.45,-5.47,1.86
DCMo,"dorsal cochlear nucleus, molecular layer",auditory,48,50,3,48 49 50,6,3,-9,2.79,-5.16,3,1.071,0.522,0.81,0.3571,surface,2,2.92,-5.24,-9.13
dcs,dorsal corticospinal tract,fiber_tract;motor,60,62,3,60 61 62,6,3,-13.2,0.27,-6.42,3,0.368,0.137,0.96,0.1411,surface,2,0.28,-6.4,-13.1
dcw,deep cerebral white matter,fiber_tract,29,39,11,29 30 31 32 33 34 35 36 37 38 39,24,11,-3.58,4.19,-2.48,11,16.945,2.534,0.8,5.8063,surface,8,4.47,-3.28,-2.54
DEn,dorsal endopiriform nucleus,olfactory,12,32,21,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,41,21,0.45,3.29,-6.63,21,6.966,0.622,0.87,2.5725,surface,2,-3.58,-6.72,0.1
df,dorsal fornix,fiber_tract;hippocampal,26,27,2,26 27,2,2,-1.12,0.31,-3.15,1,0.03,0.03,1,0.0193,slab,1,-0.39,-3.21,-0.93
DG,dentate gyrus,hippocampal,30,30,1,30,2,1,-2.35,2.26,-7.25,1,0.476,0.476,1,0.1544,slab,2,2.21,-7.25,-2.35
dhc,dorsal hippocampal commissure,fiber_tract;hippocampal,28,38,11,28 29 30 31 32 33 34 35 36 37 38,17,11,-3.75,2.02,-1.99,11,9.115,1.897,0.96,2.7411,surface,6,-0.39,-1.97,-3.59
DI,dysgranular insular cortex,cortex,13,27,15,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,30,15,1.15,3.66,-5.76,15,15.264,1.849,0.92,5.438,surface,2,4.32,-5.64,0.62
Dk,nucleus of Darkschewitsch,midbrain,33,35,3,33 34 35,6,3,-3.75,0.27,-5.06,3,0.724,0.3,0.94,0.3134,surface,1,-0.08,-5.1,-3.82
DLG,dorsal lateral geniculate nucleus,thalamus;visual,29,33,5,29 30 31 32 33,10,5,-2.7,3.41,-3.81,5,6.697,2.194,0.99,2.4094,surface,2,3.32,-3.81,-2.84
dlo,dorsal lateral olfactory tract,fiber_tract;olfactory,5,12,8,5 6 7 8 9 10 11 12,14,8,5.35,1.53,-5.46,8,3.09,1.399,0.89,0.7819,surface,5,1.21,-5.09,6.05
DLO,dorsolateral orbital cortex,cortex,9,12,4,9 10 11 12,8,4,4.47,2.08,-5.07,4,5.543,1.756,0.97,2.0551,surface,2,-2.1,-5.1,4.41
DLPAG,dorsolateral periaqueductal gray,midbrain;ventricular,36,42,7,36 37 38 39 40 41 42,14,7,-5.5,0.65,-3.43,7,5.506,1.074,0.96,2.0136,surface,2,-0.67,-3.36,-5.46
DLPO,dorsolateral periolivary nucleus,auditory,44,47,4,44 45 46 47,8,4,-7.78,1.67,-7.51,4,0.434,0.113,0.45,0.1883,surface,2,1.55,-7.51,-7.71
DM,dorsomedial hypothalamic nucleus,hypothalamus;thalamus,29,32,4,29 30 31 32,6,3,-2.35,0.34,-7.07,3,1.867,0.8,0.68,0.8484,surface,1,0.04,-7.1,-2.4
DMC,"dorsomedial hypothalamic nucleus, compact part",hypothalamus;thalamus,31,31,1,31,1,1,-2.7,0.17,-7.48,1,0.085,0.085,1,0.0196,slab,2,-0.16,-7.53,-2.65
DMD,"dorsomedial hypothalamic nucleus, dorsal part",hypothalamus;thalamus,31,31,1,31,2,1,-2.7,0.34,-7.08,1,0.436,0.436,0.94,0.0403,slab,3,-0.38,-7.01,-2.72
DMIC,dorsomedial nucleus of the inferior colliculus,auditory;midbrain,41,43,3,41 42 43,6,3,-6.55,0.84,-3.11,3,1.05,0.411,0.67,0.3896,surface,2,-0.99,-3.32,-6.57
DMPAG,dorsomedial periaqueductal gray,midbrain;ventricular,35,42,8,35 36 37 38 39 40 41 42,8,8,-5.33,0.03,-3.19,8,3.665,0.805,0.77,1.3578,surface,1,-0.01,-3.47,-5.01
DMSp5,dorsomedial spinal trigeminal nucleus,somatosensory,48,54,7,48 49 50 51 52 53 54,8,6,-9.88,1.84,-6.23,6,1.644,0.369,0.66,0.5371,surface,3,1.83,-6.1,-9.98
DMTg,dorsomedial tegmental area,midbrain,43,45,3,43 44 45,6,3,-7.25,0.62,-6.13,3,3.537,1.302,0.92,1.2445,surface,1,-0.05,-6.14,-7.22
DMV,"dorsomedial hypothalamic nucleus, ventral part",hypothalamus;thalamus,31,31,1,31,2,1,-2.7,0.37,-7.72,1,0.555,0.555,0.94,0.1761,slab,2,-0.39,-7.6,-2.71
DNLL,dorsal nucleus of the lateral lemniscus,auditory;fiber_tract,41,42,2,41 42,4,2,-6.38,2.48,-5.07,2,1.365,0.688,1,0.4999,slab,2,-2.48,-4.95,-6.38
DP,dorsal peduncular cortex,cortex,12,18,7,12 13 14 15 16 17 18,14,7,2.9,0.45,-6.04,7,3.664,0.671,0.99,1.3916,surface,1,-0.05,-6.02,2.91
DpG,deep gray layer of the superior colliculus,midbrain;visual,33,41,9,33 34 35 36 37 38 39 40 41,18,9,-4.8,0.94,-2.9,9,12.576,2.31,0.93,4.7265,surface,1,-0.05,-3.39,-4.83
DPGi,dorsal paragigantocellular nucleus,brainstem,48,51,4,48 49 50 51,7,4,-9.35,0.38,-6.34,4,1.216,0.334,0.7,0.4363,surface,2,0.39,-6.38,-9.14
DPO,dorsal periolivary nucleus,auditory,45,47,3,45 46 47,5,3,-7.95,1.14,-7.73,3,0.546,0.2,0.59,0.2101,surface,2,1.35,-8.03,-7.97
DpWh,deep white layer of the superior colliculus,midbrain;visual,34,41,8,34 35 36 37 38 39 40 41,15,8,-4.8,1.14,-4.04,7,4.225,1.063,0.74,1.3509,surface,1,-0.1,-3.81,-4.88
DR,dorsal raphe nucleus,brainstem;monoaminergic,37,38,2,37 38,2,2,-4.97,0.01,-5.31,2,0.095,0.05,1,0.0364,slab,1,0.01,-5.39,-4.94
DRC,"dorsal raphe nucleus, caudal part",brainstem;monoaminergic,43,44,2,43 44,1,1,-7.25,0.03,-5.37,1,0.058,0.058,1,0.0381,slab,1,-0.02,-5.6,-7.27
DRD,"dorsal raphe nucleus, dorsal part",brainstem;monoaminergic,39,42,4,39 40 41 42,4,4,-6.03,0.04,-4.69,4,0.846,0.386,0.99,0.311,surface,1,-0.02,-4.71,-6.07
DRL,"dorsal raphe nucleus, lateral part",brainstem;monoaminergic,39,41,3,39 40 41,6,3,-5.85,0.65,-4.51,3,0.833,0.408,0.93,0.2911,surface,2,0.58,-4.64,-5.85
DRV,"dorsal raphe nucleus, ventral part",brainstem;monoaminergic,39,42,4,39 40 41 42,3,3,-6.2,0.02,-5.2,3,0.28,0.127,0.91,0.1079,surface,1,-0.03,-5.19,-6.17
DS,dorsal subiculum,hippocampal,33,36,4,33 34 35 36,8,4,-3.92,2.4,-2.23,4,4.087,1.223,0.97,1.2934,surface,2,2.43,-2.28,-3.95
dsc,dorsal spinocerebellar tract,cerebellum;fiber_tract,52,62,11,52 53 54 55 56 57 58 59 60 61 62,21,11,-11.8,2.29,-7.19,9,2.107,0.402,0.67,0.6835,surface,7,-1.32,-7.4,-13
DTg,dorsal tegmental nucleus,midbrain,44,44,1,44,1,1,-7.25,0.29,-5.51,1,0.256,0.256,0.99,0.0951,slab,2,-0.33,-5.47,-7.24
DTgC,"dorsal tegmental nucleus, central part",midbrain,43,43,1,43,1,1,-6.9,0.2,-5.29,1,0.047,0.047,1,0.0234,slab,1,0.12,-5.27,-6.93
DTgP,"dorsal tegmental nucleus, pericentral part",midbrain,43,43,1,43,2,1,-6.9,0.33,-5.12,1,0.219,0.219,0.99,0.0826,slab,2,-0.45,-5.15,-6.93
dtgx,dorsal tegmental decussation,fiber_tract;midbrain,36,37,2,36 37,2,2,-4.62,0.01,-5.74,2,0.232,0.195,0.69,0.0934,slab,1,-0.03,-5.63,-4.72
Dtr,dorsal transition zone,cortex,12,15,4,12 13 14 15,8,4,3.42,0.92,-6.13,4,1.954,0.568,0.86,0.7175,surface,2,-0.88,-6.28,3.4
DTT,dorsal tenia tecta,cortex;olfactory,11,18,8,11 12 13 14 15 16 17 18,13,7,3.25,0.35,-6.39,7,2.688,1.309,0.59,0.868,surface,5,0.32,-6.6,3.55
dVNLL,"ventral nucleus of the lateral lemniscus, dorsal part",auditory;fiber_tract,41,42,2,41 42,4,2,-6.38,2.12,-6.34,2,0.928,0.504,1,0.4,slab,2,-2.14,-6.38,-6.37
E,ependyma and subependymal layer,ventricular,1,23,23,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,41,22,3.95,1.35,-6.59,16,3.158,0.914,0.33,0.6691,surface,28,-0.73,-6.15,6.91
EA,sublenticular extended amygdala,amygdala,26,26,1,26,2,1,-0.95,2.09,-6.74,1,0.086,0.086,0.29,0.0901,slab,2,2.06,-6.64,-1.01
EAC,"sublenticular extended amygdala, central part",amygdala,25,25,1,25,2,1,-0.6,1.77,-6.73,1,1.715,1.715,0.33,0.46,slab,2,2,-6.94,-0.6
ec,external capsule,fiber_tract,19,30,12,19 20 21 22 23 24 25 26 27 28 29 30,24,12,-0.42,3.85,-3.58,12,13.797,2.134,0.94,3.9528,surface,5,-3.35,-3.54,-0.72
ECIC,external cortex of the inferior colliculus,auditory;cortex;midbrain,38,44,7,38 39 40 41 42 43 44,13,7,-6.2,2.58,-3.44,7,11.231,2.685,0.97,4.2853,surface,2,2.34,-3.25,-6.17
Ect,ectorhinal cortex,cortex;hippocampal,28,42,15,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,30,15,-4.1,6.31,-5.14,14,21.704,2.431,0.94,7.8113,surface,2,6.36,-5.07,-3.84
ECu,external cuneate nucleus,somatosensory,52,56,5,52 53 54 55 56,9,5,-10.75,1.56,-5.34,5,1.168,0.361,0.74,0.4313,surface,2,1.56,-5.32,-10.88
eml,external medullary lamina,brainstem;thalamus,28,30,3,28 29 30,6,3,-2,3.31,-4.37,2,0.786,0.61,0.98,0.2533,slab,2,3.21,-4.78,-2.25
Ent,entorhinal cortex,cortex;hippocampal,42,42,1,42,2,1,-6.55,4.59,-4.13,1,3.466,3.466,1,1.1618,slab,2,-4.5,-4.07,-6.55
EP,entopeduncular nucleus,motor,27,28,2,27 28,4,2,-1.48,2.49,-6.26,2,1.291,0.991,0.96,0.4533,slab,2,-2.46,-6.33,-1.36
EPl,external plexiform layer of the olfactory bulb,olfactory,1,9,9,1 2 3 4 5 6 7 8 9,19,9,6.4,1.25,-5.64,9,18.632,3.299,0.93,6.4088,surface,2,-0.06,-5.75,6.43
EPlA,external plexiform layer of the accessory olfactory bulb,olfactory,5,9,5,5 6 7 8 9,9,5,5.7,1.43,-5.14,5,0.93,0.243,0.87,0.2136,surface,5,-1.14,-5.36,5.14
Eth,ethmoid thalamic nucleus,thalamus,32,32,1,32,2,1,-3.05,1.48,-5.08,1,0.577,0.577,0.99,0.1873,slab,2,1.39,-5.07,-3.07
EVe,nucleus of origin of efferents of the vestibular nerve,vestibular,47,47,1,47,2,1,-8.3,0.81,-5.88,1,0.048,0.048,0.49,0.0154,slab,1,-0.82,-5.93,-8.3
EW,Edinger–Westphal nucleus,midbrain,36,38,3,36 37 38,3,3,-4.8,0.01,-4.85,3,0.217,0.129,0.99,0.08,surface,1,0,-5.01,-4.66
f,fornix,fiber_tract;hippocampal,23,32,10,23 24 25 26 27 28 29 30 31 32,20,10,-1.48,1,-6.96,9,1.416,0.392,0.98,0.51,surface,3,0.73,-6.27,-1.02
F,nucleus of the fields of Forel,thalamus,32,34,3,32 33 34,6,3,-3.4,1.06,-6.2,2,0.803,0.654,0.52,0.2388,slab,2,1.2,-6.11,-3.15
FC,fasciola cinereum,hippocampal,29,33,5,29 30 31 32 33,5,5,-2.7,0.27,-2.67,3,0.368,0.3,0.9,0.1421,slab,2,0.04,-2.91,-2.05
fi,fimbria of the hippocampus,fiber_tract;hippocampal,22,30,9,22 23 24 25 26 27 28 29 30,17,9,-0.95,1.76,-4.07,8,12.233,2.486,0.91,4.5881,surface,2,-0.3,-3.7,-1.49
Fl,flocculus,cerebellum,43,48,6,43 44 45 46 47 48,12,6,-7.78,4.23,-5.21,6,15.972,3.477,0.42,5.5785,surface,2,-3.84,-5.16,-7.64
fmi,forceps minor of the corpus callosum,fiber_tract,13,18,6,13 14 15 16 17 18,12,6,2.72,1.62,-4.35,6,9.938,2.688,0.96,3.5523,surface,2,1.47,-4.44,2.44
fmj,forceps major of the corpus callosum,fiber_tract,34,39,6,34 35 36 37 38 39,12,6,-4.62,2.37,-1.44,6,3.665,1.073,0.94,0.7611,surface,4,1.99,-1.45,-4.17
fr,fasciculus retroflexus,fiber_tract,27,36,10,27 28 29 30 31 32 33 34 35 36,20,10,-2.88,0.52,-4.84,10,1.574,0.223,0.94,0.5295,surface,7,-0.5,-6.07,-3.85
Fr3,"frontal cortex, area 3",cortex,11,17,7,11 12 13 14 15 16 17,14,7,3.25,2.65,-3,7,6.733,1.247,1,2.1984,surface,3,-2.57,-3.58,3.29
FrA,frontal association cortex,cortex,7,9,3,7 8 9,5,3,5.35,1.31,-3.98,3,7.499,3.921,0.83,2.7641,surface,2,-1.34,-4.25,5.25
Fu,"bed nucleus of stria terminalis, fusiform part",basal_forebrain;fiber_tract,23,23,1,23,2,1,0.1,1.36,-6.75,1,0.189,0.189,0.95,0.0709,slab,2,-1.44,-6.82,0.1
FVe,F cell group of the vestibular complex,vestibular,52,52,1,52,2,1,-10.05,1.54,-5.32,1,0.13,0.13,0.54,0.0561,slab,2,-1.57,-5.33,-10.14
g7,genu of the facial nerve,fiber_tract;motor,46,48,3,46 47 48,6,3,-8.3,0.74,-6.21,3,0.908,0.348,0.88,0.3514,surface,2,0.9,-6.3,-8.26
Gca,"globular cell area, ventral cochlear nucleus",auditory,46,49,4,46 47 48 49,8,4,-8.48,3.25,-6.17,4,2.039,0.661,0.75,0.7225,surface,2,-3.27,-6.21,-8.48
gcc,genu of the corpus callosum,fiber_tract,19,19,1,19,1,1,1.5,0.01,-4.62,1,0.95,0.95,0.83,0.3491,slab,1,0.61,-4.22,1.51
Ge5,gelatinous layer of the caudal spinal trigeminal nucleus,somatosensory,57,62,6,57 58 59 60 61 62,12,6,-12.68,1.55,-6.22,6,2.62,0.693,0.27,0.8479,surface,2,-1.69,-6.42,-12.49
Gi,gigantocellular reticular nucleus,brainstem,47,54,8,47 48 49 50 51 52 53 54,15,8,-9.7,0.56,-7.16,7,16.762,3.033,0.59,5.863,surface,1,-0.05,-7.26,-9.63
GI,granular insular cortex,cortex,13,27,15,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,30,15,1.15,3.85,-5.43,15,11.63,1.151,1,4.2363,surface,2,4.32,-5.33,0.8
GiA,"gigantocellular reticular nucleus, alpha part",brainstem,48,51,4,48 49 50 51,5,4,-9.35,0.07,-7.92,4,0.94,0.334,0.99,0.3311,surface,1,0,-8.02,-9.12
GiV,"gigantocellular reticular nucleus, ventral part",brainstem,51,52,2,51 52,4,2,-9.88,0.57,-7.86,2,0.682,0.399,0.49,0.2343,slab,2,0.44,-7.99,-9.92
Gl,glomerular layer of the olfactory bulb,olfactory,1,11,11,1 2 3 4 5 6 7 8 9 10 11,26,11,6.05,1.12,-6.53,10,16.534,2.602,0.99,6.526,surface,1,0.13,-5.89,6.55
GlA,glomerular layer of the accessory olfactory bulb,olfactory,5,10,6,5 6 7 8 9 10,13,6,5.35,1.08,-4.97,6,3.381,1.402,0.8,1.1138,surface,7,-0.1,-4.88,5.44
GP,globus pallidus,motor,24,29,6,24 25 26 27 28 29,12,6,-1.12,3.33,-5.35,6,15.193,5.106,0.8,5.3225,surface,2,2.81,-5.62,-0.94
gr,gracile fasciculus,fiber_tract;somatosensory,54,62,9,54 55 56 57 58 59 60 61 62,7,5,-11.8,0.15,-5.66,5,0.553,0.309,0.55,0.1645,surface,4,-0.09,-5.59,-11.5
Gr,gracile nucleus,somatosensory,54,62,9,54 55 56 57 58 59 60 61 62,7,5,-11.8,0.32,-5.54,5,0.503,0.15,0.72,0.1858,surface,2,0.01,-5.61,-11.75
GrA,granule cell layer of the accessory olfactory bulb,olfactory,3,10,8,3 4 5 6 7 8 9 10,13,7,6.05,1.45,-5.02,7,3.365,1.141,0.84,1.1724,surface,3,1.02,-4.95,6.68
GrC,granule cell layer of cochlear nuclei,auditory,43,50,8,43 44 45 46 47 48 49 50,18,7,-8.48,3.02,-5.6,7,2.369,0.567,0.52,0.7175,surface,4,-2.83,-5.51,-7.96
GrDG,granular layer of the dentate gyrus,hippocampal,27,36,10,27 28 29 30 31 32 33 34 35 36,27,10,-3.05,2.28,-3.31,9,8.021,3.05,0.43,2.6885,surface,9,-4.09,-4.4,-4
GrO,granular cell layer of the olfactory bulb,olfactory,1,10,10,1 2 3 4 5 6 7 8 9 10,20,10,6.22,0.92,-6.43,10,18.907,3.216,0.72,6.8815,surface,2,-1.06,-5.76,6.21
hbc,habenular commissure,fiber_tract;thalamus,31,32,2,31 32,3,2,-2.7,0.57,-3.39,2,0.713,0.575,0.98,0.2055,slab,1,-0.1,-3.41,-2.96
HDB,nucleus of the horizontal limb of the diagonal band,basal_forebrain,20,25,6,20 21 22 23 24 25,12,6,0.28,1.21,-7.64,6,3.604,0.826,0.93,1.4544,surface,2,1.2,-7.57,0.28
hif,hippocampal fissure,cerebellum;hippocampal,30,34,5,30 31 32 33 34,10,5,-3.05,1.28,-3.1,5,1.487,0.874,0.94,0.3184,surface,5,-1.03,-3.09,-2.87
I,intercalated nuclei of the amygdala,amygdala,23,29,7,23 24 25 26 27 28 29,18,5,-0.6,3.54,-6.84,3,0.613,0.251,0.97,0.1678,surface,7,-3.29,-7.28,-0.31
IAD,interanterodorsal thalamic nucleus,thalamus,26,27,2,26 27,4,2,-1.12,0.79,-4.89,2,0.71,0.388,0.97,0.2564,slab,2,0.81,-4.89,-1.12
IAM,interanteromedial thalamic nucleus,thalamus,27,27,1,27,2,1,-1.3,0.26,-5.26,1,0.192,0.192,0.96,0.0615,slab,2,0.23,-5.26,-1.28
IB,interstitial nucleus of the medulla,brainstem,57,62,6,57 58 59 60 61 62,11,6,-12.5,0.45,-6.34,4,0.4,0.198,0.9,0.1219,surface,3,-0.43,-6.48,-12.95
ic,internal capsule,fiber_tract,23,30,8,23 24 25 26 27 28 29 30,18,8,-1.3,3.18,-5.05,8,12.273,2.736,0.98,4.5069,surface,2,-3.36,-5.09,-1.59
icf,intercrural fissure,cerebellum,49,54,6,49 50 51 52 53 54,10,6,-9.7,3.22,-2.37,0,,,,,,,,,
ICj,islands of Calleja,basal_forebrain;olfactory,16,22,7,16 17 18 19 20 21 22,17,6,1.15,1.27,-7.57,4,1.236,0.41,0.53,0.511,slab,5,-1,-7.52,2
ICjM,"islands of Calleja, major island",basal_forebrain;olfactory,20,21,2,20 21,3,2,1.15,0.51,-6.69,2,0.672,0.388,0.99,0.3016,slab,2,-0.55,-6.59,0.9
icp,inferior cerebellar peduncle (restiform body),cerebellum;fiber_tract,46,53,8,46 47 48 49 50 51 52 53,16,8,-9.18,2.37,-5.64,8,7.608,1.486,0.52,2.9108,surface,2,-2.37,-5.42,-8.84
IEn,intermediate endopiriform nucleus,olfactory,12,24,13,12 13 14 15 16 17 18 19 20 21 22 23 24,23,12,1.5,2.13,-6.56,12,2.444,0.505,0.82,0.902,surface,4,2.33,-6.69,1.49
IF,interfascicular nucleus,midbrain;monoaminergic,35,38,4,35 36 37 38,4,4,-4.62,0.04,-6.51,4,0.496,0.268,0.99,0.1989,surface,1,-0.05,-6.71,-4.45
IG,indusium griseum,cortex;hippocampal,18,33,16,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,16,16,-0.77,0.17,-3.12,5,0.872,0.57,0.97,0.3303,slab,5,0.16,-2.41,-1.71
IL,infralimbic cortex,cortex,14,18,5,14 15 16 17 18,10,5,2.55,0.48,-5.29,5,9.425,2.299,1,3.3014,surface,1,-0.03,-5.1,2.55
IM,"intercalated amygdaloid nucleus, main part",amygdala,26,26,1,26,2,1,-0.95,3.63,-7.45,1,0.444,0.444,1,0.1275,slab,2,-3.64,-7.45,-0.92
IMD,intermediodorsal thalamic nucleus,thalamus,28,30,3,28 29 30,3,3,-2,0.01,-4.87,3,0.249,0.093,0.99,0.0915,surface,1,0,-4.86,-2.02
IMG,amygdaloid intramedullary gray,amygdala;brainstem,27,28,2,27 28,4,2,-1.48,4.31,-6.31,2,0.273,0.156,0.99,0.0946,slab,2,4.47,-6.21,-1.44
iml,internal medullary lamina,brainstem;thalamus,26,26,1,26,2,1,-0.95,1.4,-5.06,1,0.558,0.558,0.98,0.2176,slab,2,1.48,-4.6,-0.94
imvc,intermedioventral thalamic commissure,fiber_tract;thalamus,29,30,2,29 30,2,2,-2.17,0,-5.31,2,0.138,0.087,0.14,0.0484,slab,1,-0.01,-5.29,-2.23
InC,interstitial nucleus of Cajal,midbrain,33,38,6,33 34 35 36 37 38,11,6,-4.45,0.55,-5.22,6,1.404,0.45,0.86,0.6064,surface,4,0.42,-5.32,-3.95
InG,intermediate gray layer of the superior colliculus,midbrain;visual,33,41,9,33 34 35 36 37 38 39 40 41,19,9,-4.8,0.89,-2.47,9,9.755,1.685,0.97,3.2123,surface,2,0.01,-2.8,-4.82
INLL,intermediate nucleus of the lateral lemniscus,auditory;fiber_tract,40,42,3,40 41 42,6,3,-6.2,2.49,-5.62,3,1.784,0.807,0.98,0.6418,surface,2,-2.48,-5.56,-6.27
IntA,"interposed cerebellar nucleus, anterior part",cerebellum,47,49,3,47 48 49,6,3,-8.65,1.84,-4.14,3,1.93,1.17,0.33,0.7834,surface,2,-1.74,-4.17,-8.5
IntDL,"interposed cerebellar nucleus, dorsolateral hump",cerebellum,47,50,4,47 48 49 50,8,4,-8.82,2.33,-3.84,4,4.728,3.679,0.5,1.4049,surface,2,-2.27,-3.65,-8.52
IntDM,"interposed cerebellar nucleus, dorsomedial crest",cerebellum,48,50,3,48 49 50,5,3,-9,1.57,-3.82,3,0.408,0.166,0.5,0.2848,surface,3,-1.43,-3.75,-8.99
IntP,"interposed cerebellar nucleus, posterior part",cerebellum,49,50,2,49 50,4,2,-9.18,1.77,-4.08,2,2.2,1.161,0.3,0.8775,slab,2,1.8,-4.1,-9.2
IntPPC,"interposed cerebellar nucleus, posterior parvicellular part",cerebellum,49,50,2,49 50,4,2,-9.18,1.9,-4.39,2,0.559,0.376,0.39,0.3011,slab,2,1.9,-4.48,-9.19
InWh,intermediate white layer of the superior colliculus,midbrain;visual,33,41,9,33 34 35 36 37 38 39 40 41,17,9,-4.8,0.93,-2.6,7,11.567,2.885,0.97,4.1749,surface,1,-0.07,-3.26,-4.6
IOA,"inferior olive, subnucleus A of medial nucleus",brainstem,57,58,2,57 58,1,1,-11.8,0.8,-7.95,1,0.06,0.06,0.81,0.0259,slab,1,-0.82,-7.95,-11.83
IOB,"inferior olive, subnucleus B of medial nucleus",brainstem,56,58,3,56 57 58,3,2,-11.8,0.55,-7.81,2,0.444,0.253,0.47,0.2095,slab,2,0.72,-7.87,-11.69
