abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
5Sol,trigeminal-solitary transition zone,48–55,48–55,48,55,8,48 49 50 51 52 53 54 55,
5Tr,trigeminal transition zone,44–46,44–46,44,46,3,44 45 46,
5TT,"motor trigeminal nucleus, tensor tympani part",43–44,43–44,43,44,2,43 44,
6Cb,6th cerebellar lobule,46–54,46–54,46,54,9,46 47 48 49 50 51 52 53 54,
6N,abducens nucleus,47,47,47,47,1,47,
6n,abducens nerve,46–47,46–47,46,47,2,46 47,
7Cb,7th cerebellar lobule,51–56,51–56,51,56,6,51 52 53 54 55 56,
7DI,"facial nucleus, dorsal intermediate subnucleus",48–50,48–50,48,50,3,48 49 50,
7DL,"facial nucleus, dorsolateral subnucleus",48–50,48–50,48,50,3,48 49 50,
7DM,"facial nucleus, dorsomedial subnucleus",48–50,48–50,48,50,3,48 49 50,
7L,"facial nucleus, lateral subnucleus",49–51,49–51,49,51,3,49 50 51,
7n,facial nerve,45–47,45–47,45,47,3,45 46 47,
7VI,"facial nucleus, ventral intermediate subnucleus",48–50,48–50,48,50,3,48 49 50,
7VM,"facial nucleus, ventromedial subnucleus",48–50,48–50,48,50,3,48 49 50,
